dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,112.836,3.5656440957865967,107.048,4.855024950220881
1,112.849,3.5146196880390277,106.836,5.00341264919636
2,112.78,3.3768332803090835,106.708,4.4443771766681195
3,112.676,3.4645385013053365,106.673,4.6333075160773145
4,112.742,3.5473962310432734,106.784,4.787302190405601
5,112.596,3.5605422987884108,106.394,4.66610507131339
6,112.949,3.3615024466298844,106.781,4.572739763965248
7,112.876,3.5857330466003017,106.64,4.673140083309962
8,112.526,3.5994833351857984,106.147,4.522150024141265
9,112.756,3.5265990558753484,106.798,4.150231369504647
10,112.777,3.4200830352446077,107.907,3.6867252329056126
