dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,111.002,3.3408318061759945,104.666,4.488272338950544
1,111.311,3.421108443616335,104.778,4.3918110164263675
2,111.206,3.163158163856112,104.443,4.413414690376288
3,111.215,3.3454397269965823,104.489,4.380761357352175
4,111.289,3.1977655800112528,104.561,4.467240225825698
5,111.237,3.2908449766983345,104.408,4.323682484899907
6,111.248,3.1417139217895644,104.75,4.318118357125722
7,111.137,3.2518926497973153,104.748,4.189038558433671
8,111.25,3.2591597263899357,104.712,4.234263216308711
9,111.173,3.3045409652463067,105.282,3.9283467143198942
10,111.128,3.216825137299814,106.464,3.4682463483340875
