dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,112.18,3.49224795737585,106.133,4.824166620628229
1,112.114,3.391239375877867,105.859,4.79897375999798
2,112.059,3.445197873618929,105.596,4.570303236293153
3,112.16,3.4831785100009633,105.751,4.752639959705194
4,111.882,3.4788185031959022,105.371,4.598750646372067
5,111.926,3.4690861272903786,105.621,4.5106213213596975
6,112.106,3.494706994438443,105.851,4.586702174420837
7,112.033,3.5825613387276074,105.696,4.484383312529571
8,112.037,3.487089157275849,105.57,4.405054426962794
9,112.036,3.547857281697122,106.158,4.333799466728683
10,112.272,3.3542908739802613,107.352,3.606813705350625
