dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,111.657,3.418923813137701,105.381,4.519321106456506
1,111.692,3.34938118976541,105.377,4.327770858144017
2,111.901,3.093666072763796,105.181,4.430560784919768
3,111.701,3.3416711037691553,105.012,4.4253180043291165
4,111.642,3.377164674877617,104.863,4.450847227331112
5,111.571,3.4100714930317206,104.912,4.424684602752363
6,111.62,3.3365750003158525,105.039,4.472749096974307
7,111.502,3.290413776840661,104.977,4.346649786256579
8,111.589,3.3456348085635814,105.209,4.350200368171936
9,111.621,3.4271130859812757,105.727,3.982503148941797
10,111.598,3.281335576127983,106.759,3.5481697406562316
