dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,113.665,3.341847235129539,108.712,4.916424231820035
1,113.581,3.605056925408451,108.102,4.973160798559436
2,113.212,3.538018311650404,107.644,4.862191368601703
3,113.43,3.6729539325440212,107.626,4.983066822244606
4,113.389,3.6175635123333723,107.423,5.007508976142344
5,113.445,3.58075366323862,107.636,4.797553597461994
6,113.69,3.5313411574599205,107.876,4.920043783426204
7,113.459,3.570303357708707,107.493,4.945949192360695
8,113.587,3.510663150425537,107.283,4.6377170482274375
9,113.677,3.5902034149279842,107.563,4.505588899503741
10,113.491,3.634711835913561,108.393,3.7398579568664823
