dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,116.017,3.6010663252262765,114.033,5.170362041834561
1,116.068,3.5897440385440103,113.791,5.25803822408757
2,116.048,3.8199853780202204,112.967,5.471731979076721
3,116.089,3.6444974086095003,113.045,5.333049448150319
4,116.063,3.6857313542383436,112.76,5.531274265031069
5,115.951,3.8067164446659394,112.171,5.5593763738089965
6,116.059,3.615880749360188,112.084,5.53801531359508
7,116.262,3.734340812151631,111.43,5.408729458417601
8,115.931,3.5971069178130053,110.328,5.5096980654816985
9,115.949,3.6899884844014097,109.736,4.795132667330206
10,116.115,3.708305074629989,110.772,3.9814404262613134
