dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,111.304,3.2474805819481247,105.106,4.395689489270834
1,111.496,3.1279014958543323,104.776,4.358074898027432
2,111.26,3.4906424314994773,104.826,4.418285328636579
3,111.377,3.235636002448412,105.113,4.0712167475836765
4,111.249,3.4826897835047164,104.704,4.635069348765763
5,111.411,3.234894672712474,104.68,4.444474474373022
6,111.217,3.224951365728065,104.878,4.4114143510416906
7,111.397,3.406022899510805,104.851,4.382694035294617
8,111.347,3.242391725887559,104.948,4.275930258970506
9,111.418,3.267101153920697,105.581,3.8426820328001647
10,111.269,3.285335969491162,106.556,3.463648489795242
