dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,115.22,3.5802818909156326,112.179,5.4282985755598805
1,115.222,3.6636236348918456,111.575,5.298721680882235
2,115.284,3.6161333521346277,111.255,5.414914246439762
3,115.307,3.469407411617694,111.064,5.367374843693397
4,114.999,3.8714321622607555,110.649,5.53700798784483
5,115.401,3.7013374473153484,110.904,5.362419187226931
6,115.148,3.64820577892824,110.171,5.325233996465988
7,115.234,3.779090568579367,110.204,5.414027677773332
8,115.065,3.830332419835966,109.445,5.276629399324707
9,115.292,3.7567071816750435,109.306,4.714296192284548
10,115.267,3.6275156608717585,110.084,3.7449925192140197
