dispersion,init_mean,init_stdev,top_swap_mean,top_swap_stdev,bottom_swap_mean,bottom_swap_stdev
2,94.94,5.80807518664638,102.9,8.307839792641769,97.2,5.85687888751597
3,93.24,5.9307791574245465,103.61,8.599853181739485,98.09,6.775020966086311
4,93.68,6.300360740032705,105.6,8.878529316744007,100.15,7.27160660557642
5,94.04,6.314837426028617,105.7,6.772642532179509,101.82,7.139844097553794
6,93.73,5.911562031863124,106.13,7.427297454306477,102.36,6.727780488618093
7,94.17,5.961246903665763,104.01,6.979761507893426,103.74,8.30555369751001
