dispersion,init_mean,init_stdev,top_swap_mean,top_swap_stdev,bottom_swap_mean,bottom_swap_stdev
2,120,0.0,67.13,15.888916790255928,98.45,3.995894357609034
3,120,0.0,57.05,13.53213534031813,89.06,4.1263381667850085
4,120,0.0,49.69,12.443565535340875,80.74,4.293805733468583
5,120,0.0,49.52,10.407340067122208,71.69,5.604282273224627
6,120,0.0,49.02,8.5552039807076,63.98,5.731324524756979
7,120,0.0,52.42,7.514538098132368,57.88,6.393304578568382
