"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.032
"(0.0, 0.2)",-0.018
"(0.0, 0.3)",-0.064
"(0.0, 0.4)",-0.056
"(0.0, 0.5)",-0.034
"(0.0, 0.6)",-0.064
"(0.0, 0.7)",-0.044
"(0.0, 0.8)",0.014
"(0.0, 0.9)",-0.002
"(0.0, 1.0)",0.018
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.026
"(0.1, 0.2)",-0.026
"(0.1, 0.3)",-0.01
"(0.1, 0.4)",-0.012
"(0.1, 0.5)",-0.068
"(0.1, 0.6)",-0.04
"(0.1, 0.7)",-0.036
"(0.1, 0.8)",-0.042
"(0.1, 0.9)",-0.034
"(0.1, 1.0)",0.05
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.018
"(0.2, 0.2)",-0.016
"(0.2, 0.3)",-0.052
"(0.2, 0.4)",-0.048
"(0.2, 0.5)",-0.082
"(0.2, 0.6)",-0.052
"(0.2, 0.7)",-0.034
"(0.2, 0.8)",-0.048
"(0.2, 0.9)",0.026
"(0.2, 1.0)",0.072
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.044
"(0.3, 0.2)",-0.048
"(0.3, 0.3)",-0.034
"(0.3, 0.4)",-0.07
"(0.3, 0.5)",-0.052
"(0.3, 0.6)",-0.03
"(0.3, 0.7)",-0.048
"(0.3, 0.8)",-0.05
"(0.3, 0.9)",-0.044
"(0.3, 1.0)",0.014
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.032
"(0.4, 0.2)",-0.022
"(0.4, 0.3)",-0.032
"(0.4, 0.4)",-0.004
"(0.4, 0.5)",-0.036
"(0.4, 0.6)",-0.018
"(0.4, 0.7)",0.03
"(0.4, 0.8)",-0.04
"(0.4, 0.9)",-0.044
"(0.4, 1.0)",-0.042
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.046
"(0.5, 0.2)",-0.034
"(0.5, 0.3)",-0.054
"(0.5, 0.4)",-0.074
"(0.5, 0.5)",-0.014
"(0.5, 0.6)",-0.076
"(0.5, 0.7)",-0.02
"(0.5, 0.8)",0.008
"(0.5, 0.9)",-0.036
"(0.5, 1.0)",-0.012
"(0.6, 0.0)",0
"(0.6, 0.1)",-0.048
"(0.6, 0.2)",-0.032
"(0.6, 0.3)",-0.04
"(0.6, 0.4)",-0.072
"(0.6, 0.5)",-0.006
"(0.6, 0.6)",-0.034
"(0.6, 0.7)",-0.062
"(0.6, 0.8)",0.02
"(0.6, 0.9)",-0.018
"(0.6, 1.0)",-0.054
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.018
"(0.7, 0.2)",-0.038
"(0.7, 0.3)",-0.022
"(0.7, 0.4)",-0.028
"(0.7, 0.5)",-0.056
"(0.7, 0.6)",-0.062
"(0.7, 0.7)",-0.078
"(0.7, 0.8)",-0.058
"(0.7, 0.9)",-0.102
"(0.7, 1.0)",0.044
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.014
"(0.8, 0.2)",-0.042
"(0.8, 0.3)",-0.014
"(0.8, 0.4)",-0.004
"(0.8, 0.5)",-0.076
"(0.8, 0.6)",-0.056
"(0.8, 0.7)",-0.038
"(0.8, 0.8)",-0.058
"(0.8, 0.9)",0.04
"(0.8, 1.0)",-0.054
"(0.9, 0.0)",0
"(0.9, 0.1)",-0.026
"(0.9, 0.2)",-0.042
"(0.9, 0.3)",-0.018
"(0.9, 0.4)",-0.048
"(0.9, 0.5)",-0.012
"(0.9, 0.6)",-0.04
"(0.9, 0.7)",0.006
"(0.9, 0.8)",-0.046
"(0.9, 0.9)",-0.006
"(0.9, 1.0)",0.032
"(1.0, 0.0)",0
"(1.0, 0.1)",-0.04
"(1.0, 0.2)",-0.05
"(1.0, 0.3)",-0.036
"(1.0, 0.4)",-0.052
"(1.0, 0.5)",-0.084
"(1.0, 0.6)",-0.084
"(1.0, 0.7)",-0.04
"(1.0, 0.8)",-0.086
"(1.0, 0.9)",0.008
"(1.0, 1.0)",-0.06
