"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",-0.022
"(0.1, 0.1)",-0.022
"(0.1, 0.2)",0.002
"(0.1, 0.3)",0.01
"(0.1, 0.4)",-0.012
"(0.1, 0.5)",-0.022
"(0.1, 0.6)",-0.014
"(0.1, 0.7)",0.006
"(0.1, 0.8)",-0.012
"(0.1, 0.9)",0.022
"(0.1, 1.0)",0.02
"(0.2, 0.0)",-0.034
"(0.2, 0.1)",-0.006
"(0.2, 0.2)",-0.006
"(0.2, 0.3)",-0.008
"(0.2, 0.4)",-0.028
"(0.2, 0.5)",-0.038
"(0.2, 0.6)",-0.012
"(0.2, 0.7)",-0.008
"(0.2, 0.8)",-0.016
"(0.2, 0.9)",-0.016
"(0.2, 1.0)",-0.016
"(0.3, 0.0)",-0.014
"(0.3, 0.1)",-0.026
"(0.3, 0.2)",-0.002
"(0.3, 0.3)",0.002
"(0.3, 0.4)",-0.026
"(0.3, 0.5)",-0.018
"(0.3, 0.6)",0.016
"(0.3, 0.7)",0.004
"(0.3, 0.8)",0.022
"(0.3, 0.9)",-0.06
"(0.3, 1.0)",-0.01
"(0.4, 0.0)",-0.018
"(0.4, 0.1)",-0.046
"(0.4, 0.2)",-0.062
"(0.4, 0.3)",0.022
"(0.4, 0.4)",-0.042
"(0.4, 0.5)",-0.02
"(0.4, 0.6)",-0.01
"(0.4, 0.7)",-0.022
"(0.4, 0.8)",0.014
"(0.4, 0.9)",-0.04
"(0.4, 1.0)",-0.002
"(0.5, 0.0)",-0.02
"(0.5, 0.1)",-0.1
"(0.5, 0.2)",0.018
"(0.5, 0.3)",-0.036
"(0.5, 0.4)",0.024
"(0.5, 0.5)",-0.072
"(0.5, 0.6)",-0.028
"(0.5, 0.7)",-0.036
"(0.5, 0.8)",-0.014
"(0.5, 0.9)",-0.024
"(0.5, 1.0)",-0.008
"(0.6, 0.0)",-0.02
"(0.6, 0.1)",-0.008
"(0.6, 0.2)",-0.024
"(0.6, 0.3)",-0.038
"(0.6, 0.4)",0.036
"(0.6, 0.5)",-0.028
"(0.6, 0.6)",-0.004
"(0.6, 0.7)",-0.034
"(0.6, 0.8)",-0.048
"(0.6, 0.9)",-0.096
"(0.6, 1.0)",-0.04
"(0.7, 0.0)",0.026
"(0.7, 0.1)",-0.006
"(0.7, 0.2)",-0.004
"(0.7, 0.3)",-0.078
"(0.7, 0.4)",-0.022
"(0.7, 0.5)",-0.114
"(0.7, 0.6)",0.052
"(0.7, 0.7)",-0.046
"(0.7, 0.8)",-0.026
"(0.7, 0.9)",0.002
"(0.7, 1.0)",-0.028
"(0.8, 0.0)",0.02
"(0.8, 0.1)",0.014
"(0.8, 0.2)",-0.066
"(0.8, 0.3)",-0.04
"(0.8, 0.4)",-0.046
"(0.8, 0.5)",-0.074
"(0.8, 0.6)",0.022
"(0.8, 0.7)",0.008
"(0.8, 0.8)",-0.088
"(0.8, 0.9)",-0.05
"(0.8, 1.0)",-0.012
"(0.9, 0.0)",-0.02
"(0.9, 0.1)",-0.022
"(0.9, 0.2)",-0.016
"(0.9, 0.3)",-0.104
"(0.9, 0.4)",-0.062
"(0.9, 0.5)",-0.048
"(0.9, 0.6)",-0.064
"(0.9, 0.7)",-0.094
"(0.9, 0.8)",-0.082
"(0.9, 0.9)",0.006
"(0.9, 1.0)",-0.042
"(1.0, 0.0)",0.008
"(1.0, 0.1)",-0.056
"(1.0, 0.2)",0.01
"(1.0, 0.3)",-0.086
"(1.0, 0.4)",-0.034
"(1.0, 0.5)",-0.082
"(1.0, 0.6)",-0.012
"(1.0, 0.7)",-0.032
"(1.0, 0.8)",-0.058
"(1.0, 0.9)",0.01
"(1.0, 1.0)",-0.026
