"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",0.02
"(0.1, 0.1)",-0.006
"(0.1, 0.2)",0.008
"(0.1, 0.3)",0.002
"(0.1, 0.4)",-0.002
"(0.1, 0.5)",-0.004
"(0.1, 0.6)",0.01
"(0.1, 0.7)",-0.002
"(0.1, 0.8)",0
"(0.1, 0.9)",-0.006
"(0.1, 1.0)",-0.002
"(0.2, 0.0)",-0.008
"(0.2, 0.1)",-0.004
"(0.2, 0.2)",0.012
"(0.2, 0.3)",-0.016
"(0.2, 0.4)",-0.012
"(0.2, 0.5)",0.024
"(0.2, 0.6)",-0.012
"(0.2, 0.7)",-0.01
"(0.2, 0.8)",-0.018
"(0.2, 0.9)",-0.008
"(0.2, 1.0)",-0.006
"(0.3, 0.0)",-0.066
"(0.3, 0.1)",-0.018
"(0.3, 0.2)",-0.054
"(0.3, 0.3)",-0.04
"(0.3, 0.4)",-0.012
"(0.3, 0.5)",0.012
"(0.3, 0.6)",0.01
"(0.3, 0.7)",-0.03
"(0.3, 0.8)",-0.012
"(0.3, 0.9)",0.002
"(0.3, 1.0)",-0.016
"(0.4, 0.0)",-0.022
"(0.4, 0.1)",-0.006
"(0.4, 0.2)",-0.038
"(0.4, 0.3)",-0.06
"(0.4, 0.4)",-0.07
"(0.4, 0.5)",-0.016
"(0.4, 0.6)",-0.016
"(0.4, 0.7)",-0.042
"(0.4, 0.8)",-0.044
"(0.4, 0.9)",-0.016
"(0.4, 1.0)",0.006
"(0.5, 0.0)",-0.02
"(0.5, 0.1)",-0.046
"(0.5, 0.2)",-0.056
"(0.5, 0.3)",-0.02
"(0.5, 0.4)",-0.098
"(0.5, 0.5)",-0.072
"(0.5, 0.6)",-0.066
"(0.5, 0.7)",-0.066
"(0.5, 0.8)",-0.014
"(0.5, 0.9)",-0.028
"(0.5, 1.0)",0.008
"(0.6, 0.0)",-0.08
"(0.6, 0.1)",-0.04
"(0.6, 0.2)",-0.09
"(0.6, 0.3)",-0.034
"(0.6, 0.4)",-0.072
"(0.6, 0.5)",-0.04
"(0.6, 0.6)",-0.054
"(0.6, 0.7)",-0.012
"(0.6, 0.8)",-0.01
"(0.6, 0.9)",-0.068
"(0.6, 1.0)",-0.028
"(0.7, 0.0)",-0.05
"(0.7, 0.1)",-0.076
"(0.7, 0.2)",-0.088
"(0.7, 0.3)",-0.122
"(0.7, 0.4)",-0.07
"(0.7, 0.5)",-0.146
"(0.7, 0.6)",-0.084
"(0.7, 0.7)",-0.004
"(0.7, 0.8)",-0.068
"(0.7, 0.9)",-0.074
"(0.7, 1.0)",-0.03
"(0.8, 0.0)",-0.024
"(0.8, 0.1)",-0.046
"(0.8, 0.2)",-0.034
"(0.8, 0.3)",-0.1
"(0.8, 0.4)",0.028
"(0.8, 0.5)",-0.104
"(0.8, 0.6)",-0.114
"(0.8, 0.7)",-0.094
"(0.8, 0.8)",-0.054
"(0.8, 0.9)",-0.002
"(0.8, 1.0)",-0.032
"(0.9, 0.0)",-0.024
"(0.9, 0.1)",-0.018
"(0.9, 0.2)",-0.004
"(0.9, 0.3)",-0.046
"(0.9, 0.4)",-0.024
"(0.9, 0.5)",-0.122
"(0.9, 0.6)",-0.048
"(0.9, 0.7)",0.026
"(0.9, 0.8)",-0.046
"(0.9, 0.9)",-0.018
"(0.9, 1.0)",-0.038
"(1.0, 0.0)",0.05
"(1.0, 0.1)",0.018
"(1.0, 0.2)",-0.018
"(1.0, 0.3)",-0.018
"(1.0, 0.4)",0.002
"(1.0, 0.5)",-0.066
"(1.0, 0.6)",0.058
"(1.0, 0.7)",-0.068
"(1.0, 0.8)",0.028
"(1.0, 0.9)",-0.038
"(1.0, 1.0)",0.05
