"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.014
"(0.0, 0.2)",0.018
"(0.0, 0.3)",0.002
"(0.0, 0.4)",0.02
"(0.0, 0.5)",-0.002
"(0.0, 0.6)",-0.018
"(0.0, 0.7)",0.006
"(0.0, 0.8)",-0.018
"(0.0, 0.9)",0.004
"(0.0, 1.0)",-0.012
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.004
"(0.1, 0.2)",-0.014
"(0.1, 0.3)",0.016
"(0.1, 0.4)",-0.012
"(0.1, 0.5)",-0.016
"(0.1, 0.6)",-0.004
"(0.1, 0.7)",0.03
"(0.1, 0.8)",0.004
"(0.1, 0.9)",0
"(0.1, 1.0)",-0.022
"(0.2, 0.0)",0
"(0.2, 0.1)",0.016
"(0.2, 0.2)",0.002
"(0.2, 0.3)",-0.012
"(0.2, 0.4)",-0.006
"(0.2, 0.5)",-0.01
"(0.2, 0.6)",-0.016
"(0.2, 0.7)",0.012
"(0.2, 0.8)",-0.018
"(0.2, 0.9)",-0.008
"(0.2, 1.0)",-0.024
"(0.3, 0.0)",0
"(0.3, 0.1)",0
"(0.3, 0.2)",-0.006
"(0.3, 0.3)",-0.01
"(0.3, 0.4)",-0.036
"(0.3, 0.5)",0.022
"(0.3, 0.6)",0.004
"(0.3, 0.7)",-0.022
"(0.3, 0.8)",-0.024
"(0.3, 0.9)",-0.004
"(0.3, 1.0)",-0.034
"(0.4, 0.0)",0
"(0.4, 0.1)",0
"(0.4, 0.2)",-0.004
"(0.4, 0.3)",-0.004
"(0.4, 0.4)",0.008
"(0.4, 0.5)",0.002
"(0.4, 0.6)",-0.006
"(0.4, 0.7)",-0.046
"(0.4, 0.8)",-0.016
"(0.4, 0.9)",-0.036
"(0.4, 1.0)",-0.03
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.02
"(0.5, 0.2)",-0.008
"(0.5, 0.3)",-0.024
"(0.5, 0.4)",-0.016
"(0.5, 0.5)",-0.004
"(0.5, 0.6)",0.006
"(0.5, 0.7)",0.002
"(0.5, 0.8)",-0.002
"(0.5, 0.9)",0.022
"(0.5, 1.0)",0
"(0.6, 0.0)",0
"(0.6, 0.1)",0.006
"(0.6, 0.2)",-0.008
"(0.6, 0.3)",0.018
"(0.6, 0.4)",-0.018
"(0.6, 0.5)",0.024
"(0.6, 0.6)",-0.006
"(0.6, 0.7)",-0.026
"(0.6, 0.8)",0.022
"(0.6, 0.9)",-0.018
"(0.6, 1.0)",0.022
"(0.7, 0.0)",0
"(0.7, 0.1)",0.022
"(0.7, 0.2)",-0.036
"(0.7, 0.3)",-0.01
"(0.7, 0.4)",0.002
"(0.7, 0.5)",-0.008
"(0.7, 0.6)",-0.014
"(0.7, 0.7)",-0.026
"(0.7, 0.8)",-0.004
"(0.7, 0.9)",-0.034
"(0.7, 1.0)",0.016
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.002
"(0.8, 0.2)",0.002
"(0.8, 0.3)",-0.006
"(0.8, 0.4)",-0.016
"(0.8, 0.5)",-0.002
"(0.8, 0.6)",0.006
"(0.8, 0.7)",0.012
"(0.8, 0.8)",-0.018
"(0.8, 0.9)",0.004
"(0.8, 1.0)",-0.018
"(0.9, 0.0)",0
"(0.9, 0.1)",0.004
"(0.9, 0.2)",-0.012
"(0.9, 0.3)",0.002
"(0.9, 0.4)",-0.034
"(0.9, 0.5)",-0.004
"(0.9, 0.6)",0.012
"(0.9, 0.7)",0.01
"(0.9, 0.8)",0.02
"(0.9, 0.9)",0.008
"(0.9, 1.0)",0.008
"(1.0, 0.0)",0
"(1.0, 0.1)",-0.018
"(1.0, 0.2)",-0.004
"(1.0, 0.3)",0
"(1.0, 0.4)",0.006
"(1.0, 0.5)",0.008
"(1.0, 0.6)",-0.008
"(1.0, 0.7)",0.002
"(1.0, 0.8)",-0.01
"(1.0, 0.9)",-0.002
"(1.0, 1.0)",-0.02
