"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.038
"(0.0, 0.2)",-0.048
"(0.0, 0.3)",-0.046
"(0.0, 0.4)",-0.034
"(0.0, 0.5)",-0.064
"(0.0, 0.6)",-0.038
"(0.0, 0.7)",-0.012
"(0.0, 0.8)",-0.068
"(0.0, 0.9)",0.006
"(0.0, 1.0)",0.004
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.056
"(0.1, 0.2)",-0.052
"(0.1, 0.3)",-0.018
"(0.1, 0.4)",-0.032
"(0.1, 0.5)",-0.066
"(0.1, 0.6)",-0.086
"(0.1, 0.7)",-0.078
"(0.1, 0.8)",-0.024
"(0.1, 0.9)",-0.004
"(0.1, 1.0)",-0.036
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.018
"(0.2, 0.2)",-0.032
"(0.2, 0.3)",-0.072
"(0.2, 0.4)",-0.088
"(0.2, 0.5)",-0.066
"(0.2, 0.6)",-0.074
"(0.2, 0.7)",-0.028
"(0.2, 0.8)",-0.068
"(0.2, 0.9)",-0.02
"(0.2, 1.0)",0.004
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.06
"(0.3, 0.2)",-0.042
"(0.3, 0.3)",-0.024
"(0.3, 0.4)",-0.066
"(0.3, 0.5)",-0.072
"(0.3, 0.6)",-0.126
"(0.3, 0.7)",-0.108
"(0.3, 0.8)",-0.024
"(0.3, 0.9)",-0.01
"(0.3, 1.0)",0.014
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.052
"(0.4, 0.2)",-0.066
"(0.4, 0.3)",-0.048
"(0.4, 0.4)",-0.078
"(0.4, 0.5)",-0.112
"(0.4, 0.6)",-0.1
"(0.4, 0.7)",-0.01
"(0.4, 0.8)",-0.068
"(0.4, 0.9)",-0.04
"(0.4, 1.0)",-0.032
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.048
"(0.5, 0.2)",-0.036
"(0.5, 0.3)",-0.036
"(0.5, 0.4)",-0.064
"(0.5, 0.5)",-0.072
"(0.5, 0.6)",-0.078
"(0.5, 0.7)",-0.01
"(0.5, 0.8)",-0.014
"(0.5, 0.9)",-0.002
"(0.5, 1.0)",-0.04
"(0.6, 0.0)",0
"(0.6, 0.1)",-0.032
"(0.6, 0.2)",-0.048
"(0.6, 0.3)",-0.046
"(0.6, 0.4)",-0.074
"(0.6, 0.5)",-0.086
"(0.6, 0.6)",-0.064
"(0.6, 0.7)",-0.096
"(0.6, 0.8)",-0.042
"(0.6, 0.9)",-0.058
"(0.6, 1.0)",-0.046
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.04
"(0.7, 0.2)",-0.062
"(0.7, 0.3)",-0.048
"(0.7, 0.4)",-0.05
"(0.7, 0.5)",-0.098
"(0.7, 0.6)",-0.056
"(0.7, 0.7)",-0.112
"(0.7, 0.8)",-0.044
"(0.7, 0.9)",-0.01
"(0.7, 1.0)",-0.014
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.032
"(0.8, 0.2)",-0.01
"(0.8, 0.3)",-0.068
"(0.8, 0.4)",-0.072
"(0.8, 0.5)",-0.058
"(0.8, 0.6)",-0.026
"(0.8, 0.7)",-0.07
"(0.8, 0.8)",-0.024
"(0.8, 0.9)",-0.03
"(0.8, 1.0)",0.042
"(0.9, 0.0)",0
"(0.9, 0.1)",-0.04
"(0.9, 0.2)",-0.036
"(0.9, 0.3)",-0.02
"(0.9, 0.4)",-0.014
"(0.9, 0.5)",-0.096
"(0.9, 0.6)",-0.044
"(0.9, 0.7)",-0.082
"(0.9, 0.8)",-0.058
"(0.9, 0.9)",0.03
"(0.9, 1.0)",-0.002
"(1.0, 0.0)",0
"(1.0, 0.1)",-0.008
"(1.0, 0.2)",-0.012
"(1.0, 0.3)",-0.068
"(1.0, 0.4)",-0.04
"(1.0, 0.5)",-0.034
"(1.0, 0.6)",-0.064
"(1.0, 0.7)",-0.046
"(1.0, 0.8)",-0.002
"(1.0, 0.9)",0.03
"(1.0, 1.0)",0.086
