"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",0.004
"(0.0, 0.2)",0.008
"(0.0, 0.3)",-0.032
"(0.0, 0.4)",-0.01
"(0.0, 0.5)",0.002
"(0.0, 0.6)",-0.044
"(0.0, 0.7)",-0.014
"(0.0, 0.8)",0.012
"(0.0, 0.9)",-0.044
"(0.0, 1.0)",0.02
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.01
"(0.1, 0.2)",-0.03
"(0.1, 0.3)",-0.034
"(0.1, 0.4)",-0.002
"(0.1, 0.5)",-0.06
"(0.1, 0.6)",-0.04
"(0.1, 0.7)",-0.066
"(0.1, 0.8)",-0.032
"(0.1, 0.9)",-0.024
"(0.1, 1.0)",0
"(0.2, 0.0)",0
"(0.2, 0.1)",0.006
"(0.2, 0.2)",-0.014
"(0.2, 0.3)",-0.014
"(0.2, 0.4)",-0.006
"(0.2, 0.5)",-0.014
"(0.2, 0.6)",-0.006
"(0.2, 0.7)",-0.04
"(0.2, 0.8)",-0.02
"(0.2, 0.9)",-0.056
"(0.2, 1.0)",-0.006
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.014
"(0.3, 0.2)",-0.012
"(0.3, 0.3)",-0.006
"(0.3, 0.4)",-0.032
"(0.3, 0.5)",-0.006
"(0.3, 0.6)",-0.016
"(0.3, 0.7)",0.016
"(0.3, 0.8)",-0.058
"(0.3, 0.9)",-0.034
"(0.3, 1.0)",-0.014
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.03
"(0.4, 0.2)",0.002
"(0.4, 0.3)",-0.016
"(0.4, 0.4)",0.01
"(0.4, 0.5)",-0.004
"(0.4, 0.6)",-0.006
"(0.4, 0.7)",0.058
"(0.4, 0.8)",-0.026
"(0.4, 0.9)",-0.014
"(0.4, 1.0)",-0.036
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.014
"(0.5, 0.2)",-0.012
"(0.5, 0.3)",-0.014
"(0.5, 0.4)",-0.006
"(0.5, 0.5)",0
"(0.5, 0.6)",-0.024
"(0.5, 0.7)",-0.048
"(0.5, 0.8)",-0.064
"(0.5, 0.9)",-0.056
"(0.5, 1.0)",0.006
"(0.6, 0.0)",0
"(0.6, 0.1)",0.014
"(0.6, 0.2)",-0.002
"(0.6, 0.3)",0.01
"(0.6, 0.4)",0.012
"(0.6, 0.5)",-0.056
"(0.6, 0.6)",-0.038
"(0.6, 0.7)",-0.042
"(0.6, 0.8)",-0.034
"(0.6, 0.9)",-0.082
"(0.6, 1.0)",-0.004
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.006
"(0.7, 0.2)",-0.028
"(0.7, 0.3)",-0.034
"(0.7, 0.4)",-0.016
"(0.7, 0.5)",-0.016
"(0.7, 0.6)",0.004
"(0.7, 0.7)",-0.064
"(0.7, 0.8)",-0.024
"(0.7, 0.9)",0.056
"(0.7, 1.0)",0.022
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.014
"(0.8, 0.2)",-0.02
"(0.8, 0.3)",-0.012
"(0.8, 0.4)",-0.044
"(0.8, 0.5)",-0.072
"(0.8, 0.6)",-0.01
"(0.8, 0.7)",0.028
"(0.8, 0.8)",-0.06
"(0.8, 0.9)",-0.012
"(0.8, 1.0)",-0.06
"(0.9, 0.0)",0
"(0.9, 0.1)",0.016
"(0.9, 0.2)",-0.042
"(0.9, 0.3)",-0.028
"(0.9, 0.4)",-0.058
"(0.9, 0.5)",0.01
"(0.9, 0.6)",0.002
"(0.9, 0.7)",-0.09
"(0.9, 0.8)",-0.048
"(0.9, 0.9)",0.01
"(0.9, 1.0)",-0.034
"(1.0, 0.0)",0
"(1.0, 0.1)",-0.026
"(1.0, 0.2)",0.03
"(1.0, 0.3)",-0.002
"(1.0, 0.4)",-0.03
"(1.0, 0.5)",-0.012
"(1.0, 0.6)",-0.066
"(1.0, 0.7)",0.024
"(1.0, 0.8)",0.002
"(1.0, 0.9)",0.006
"(1.0, 1.0)",-0.07
