"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",0.002
"(0.1, 0.1)",-0.026
"(0.1, 0.2)",0.026
"(0.1, 0.3)",-0.01
"(0.1, 0.4)",0.012
"(0.1, 0.5)",0.016
"(0.1, 0.6)",-0.002
"(0.1, 0.7)",-0.016
"(0.1, 0.8)",-0.01
"(0.1, 0.9)",0.012
"(0.1, 1.0)",-0.008
"(0.2, 0.0)",0.012
"(0.2, 0.1)",0
"(0.2, 0.2)",0.002
"(0.2, 0.3)",-0.016
"(0.2, 0.4)",0.008
"(0.2, 0.5)",-0.01
"(0.2, 0.6)",-0.01
"(0.2, 0.7)",-0.006
"(0.2, 0.8)",0
"(0.2, 0.9)",0.002
"(0.2, 1.0)",-0.008
"(0.3, 0.0)",-0.008
"(0.3, 0.1)",-0.002
"(0.3, 0.2)",-0.014
"(0.3, 0.3)",0.016
"(0.3, 0.4)",-0.02
"(0.3, 0.5)",-0.026
"(0.3, 0.6)",0.006
"(0.3, 0.7)",-0.002
"(0.3, 0.8)",-0.012
"(0.3, 0.9)",-0.004
"(0.3, 1.0)",-0.014
"(0.4, 0.0)",-0.046
"(0.4, 0.1)",-0.008
"(0.4, 0.2)",-0.004
"(0.4, 0.3)",-0.002
"(0.4, 0.4)",0.006
"(0.4, 0.5)",-0.04
"(0.4, 0.6)",-0.03
"(0.4, 0.7)",-0.028
"(0.4, 0.8)",0
"(0.4, 0.9)",-0.006
"(0.4, 1.0)",-0.01
"(0.5, 0.0)",-0.022
"(0.5, 0.1)",-0.036
"(0.5, 0.2)",-0.026
"(0.5, 0.3)",-0.09
"(0.5, 0.4)",-0.042
"(0.5, 0.5)",-0.038
"(0.5, 0.6)",-0.034
"(0.5, 0.7)",-0.002
"(0.5, 0.8)",-0.028
"(0.5, 0.9)",-0.018
"(0.5, 1.0)",-0.006
"(0.6, 0.0)",-0.03
"(0.6, 0.1)",-0.084
"(0.6, 0.2)",-0.102
"(0.6, 0.3)",-0.066
"(0.6, 0.4)",-0.014
"(0.6, 0.5)",-0.014
"(0.6, 0.6)",-0.026
"(0.6, 0.7)",-0.062
"(0.6, 0.8)",-0.022
"(0.6, 0.9)",-0.082
"(0.6, 1.0)",-0.046
"(0.7, 0.0)",-0.086
"(0.7, 0.1)",-0.048
"(0.7, 0.2)",-0.068
"(0.7, 0.3)",-0.142
"(0.7, 0.4)",-0.1
"(0.7, 0.5)",-0.068
"(0.7, 0.6)",-0.04
"(0.7, 0.7)",-0.058
"(0.7, 0.8)",-0.052
"(0.7, 0.9)",-0.07
"(0.7, 1.0)",-0.082
"(0.8, 0.0)",0.036
"(0.8, 0.1)",-0.1
"(0.8, 0.2)",-0.156
"(0.8, 0.3)",0.014
"(0.8, 0.4)",-0.112
"(0.8, 0.5)",-0.046
"(0.8, 0.6)",-0.078
"(0.8, 0.7)",0.014
"(0.8, 0.8)",-0.086
"(0.8, 0.9)",-0.026
"(0.8, 1.0)",-0.032
"(0.9, 0.0)",-0.01
"(0.9, 0.1)",-0.02
"(0.9, 0.2)",-0.014
"(0.9, 0.3)",-0.058
"(0.9, 0.4)",-0.016
"(0.9, 0.5)",-0.078
"(0.9, 0.6)",0.068
"(0.9, 0.7)",-0.014
"(0.9, 0.8)",-0.152
"(0.9, 0.9)",-0.034
"(0.9, 1.0)",0.06
"(1.0, 0.0)",-0.08
"(1.0, 0.1)",0.132
"(1.0, 0.2)",0.024
"(1.0, 0.3)",0.006
"(1.0, 0.4)",0.034
"(1.0, 0.5)",-0.08
"(1.0, 0.6)",0.004
"(1.0, 0.7)",0.05
"(1.0, 0.8)",-0.102
"(1.0, 0.9)",-0.102
"(1.0, 1.0)",0.042
