"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",-0.056
"(0.1, 0.1)",-0.034
"(0.1, 0.2)",-0.042
"(0.1, 0.3)",-0.016
"(0.1, 0.4)",-0.044
"(0.1, 0.5)",-0.024
"(0.1, 0.6)",-0.036
"(0.1, 0.7)",-0.042
"(0.1, 0.8)",-0.03
"(0.1, 0.9)",-0.038
"(0.1, 1.0)",-0.028
"(0.2, 0.0)",-0.032
"(0.2, 0.1)",-0.04
"(0.2, 0.2)",-0.044
"(0.2, 0.3)",-0.05
"(0.2, 0.4)",-0.028
"(0.2, 0.5)",-0.07
"(0.2, 0.6)",-0.038
"(0.2, 0.7)",-0.02
"(0.2, 0.8)",-0.03
"(0.2, 0.9)",-0.042
"(0.2, 1.0)",-0.038
"(0.3, 0.0)",-0.056
"(0.3, 0.1)",-0.062
"(0.3, 0.2)",-0.056
"(0.3, 0.3)",-0.074
"(0.3, 0.4)",-0.016
"(0.3, 0.5)",-0.06
"(0.3, 0.6)",-0.062
"(0.3, 0.7)",-0.058
"(0.3, 0.8)",-0.02
"(0.3, 0.9)",-0.048
"(0.3, 1.0)",-0.054
"(0.4, 0.0)",-0.084
"(0.4, 0.1)",-0.046
"(0.4, 0.2)",-0.06
"(0.4, 0.3)",-0.072
"(0.4, 0.4)",-0.044
"(0.4, 0.5)",-0.082
"(0.4, 0.6)",-0.078
"(0.4, 0.7)",-0.076
"(0.4, 0.8)",-0.038
"(0.4, 0.9)",-0.076
"(0.4, 1.0)",-0.072
"(0.5, 0.0)",-0.084
"(0.5, 0.1)",-0.042
"(0.5, 0.2)",-0.092
"(0.5, 0.3)",-0.094
"(0.5, 0.4)",-0.116
"(0.5, 0.5)",-0.026
"(0.5, 0.6)",-0.112
"(0.5, 0.7)",-0.066
"(0.5, 0.8)",-0.046
"(0.5, 0.9)",-0.086
"(0.5, 1.0)",-0.066
"(0.6, 0.0)",-0.044
"(0.6, 0.1)",-0.052
"(0.6, 0.2)",-0.11
"(0.6, 0.3)",-0.012
"(0.6, 0.4)",-0.118
"(0.6, 0.5)",-0.138
"(0.6, 0.6)",-0.128
"(0.6, 0.7)",-0.068
"(0.6, 0.8)",-0.078
"(0.6, 0.9)",-0.1
"(0.6, 1.0)",-0.104
"(0.7, 0.0)",-0.034
"(0.7, 0.1)",-0.1
"(0.7, 0.2)",-0.158
"(0.7, 0.3)",-0.062
"(0.7, 0.4)",-0.166
"(0.7, 0.5)",-0.134
"(0.7, 0.6)",-0.058
"(0.7, 0.7)",-0.144
"(0.7, 0.8)",-0.094
"(0.7, 0.9)",-0.102
"(0.7, 1.0)",-0.096
"(0.8, 0.0)",-0.076
"(0.8, 0.1)",-0.078
"(0.8, 0.2)",-0.188
"(0.8, 0.3)",-0.08
"(0.8, 0.4)",0.032
"(0.8, 0.5)",-0.172
"(0.8, 0.6)",-0.056
"(0.8, 0.7)",-0.038
"(0.8, 0.8)",-0.094
"(0.8, 0.9)",-0.078
"(0.8, 1.0)",-0.078
"(0.9, 0.0)",-0.01
"(0.9, 0.1)",-0.028
"(0.9, 0.2)",0.088
"(0.9, 0.3)",-0.064
"(0.9, 0.4)",-0.114
"(0.9, 0.5)",0.016
"(0.9, 0.6)",0.02
"(0.9, 0.7)",-0.156
"(0.9, 0.8)",-0.108
"(0.9, 0.9)",0.056
"(0.9, 1.0)",-0.052
"(1.0, 0.0)",-0.058
"(1.0, 0.1)",0.006
"(1.0, 0.2)",0.028
"(1.0, 0.3)",-0.132
"(1.0, 0.4)",-0.14
"(1.0, 0.5)",0.064
"(1.0, 0.6)",-0.058
"(1.0, 0.7)",-0.132
"(1.0, 0.8)",-0.064
"(1.0, 0.9)",0.084
"(1.0, 1.0)",0.096
