"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.002
"(0.0, 0.2)",-0.01
"(0.0, 0.3)",0.006
"(0.0, 0.4)",0.014
"(0.0, 0.5)",0.012
"(0.0, 0.6)",-0.02
"(0.0, 0.7)",-0.004
"(0.0, 0.8)",-0.014
"(0.0, 0.9)",0.002
"(0.0, 1.0)",0.01
"(0.1, 0.0)",0
"(0.1, 0.1)",0.004
"(0.1, 0.2)",-0.044
"(0.1, 0.3)",-0.016
"(0.1, 0.4)",-0.026
"(0.1, 0.5)",-0.008
"(0.1, 0.6)",0.004
"(0.1, 0.7)",0.004
"(0.1, 0.8)",-0.05
"(0.1, 0.9)",0.012
"(0.1, 1.0)",-0.004
"(0.2, 0.0)",0
"(0.2, 0.1)",0.002
"(0.2, 0.2)",-0.016
"(0.2, 0.3)",-0.004
"(0.2, 0.4)",-0.024
"(0.2, 0.5)",0.008
"(0.2, 0.6)",-0.038
"(0.2, 0.7)",-0.022
"(0.2, 0.8)",-0.008
"(0.2, 0.9)",-0.004
"(0.2, 1.0)",-0.022
"(0.3, 0.0)",0
"(0.3, 0.1)",0.002
"(0.3, 0.2)",-0.018
"(0.3, 0.3)",-0.028
"(0.3, 0.4)",-0.044
"(0.3, 0.5)",-0.036
"(0.3, 0.6)",-0.044
"(0.3, 0.7)",-0.048
"(0.3, 0.8)",-0.108
"(0.3, 0.9)",0.022
"(0.3, 1.0)",-0.058
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.014
"(0.4, 0.2)",0.004
"(0.4, 0.3)",-0.044
"(0.4, 0.4)",-0.02
"(0.4, 0.5)",-0.054
"(0.4, 0.6)",-0.002
"(0.4, 0.7)",-0.084
"(0.4, 0.8)",-0.062
"(0.4, 0.9)",-0.058
"(0.4, 1.0)",0
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.002
"(0.5, 0.2)",-0.038
"(0.5, 0.3)",-0.072
"(0.5, 0.4)",0.046
"(0.5, 0.5)",-0.058
"(0.5, 0.6)",-0.04
"(0.5, 0.7)",-0.034
"(0.5, 0.8)",-0.032
"(0.5, 0.9)",-0.038
"(0.5, 1.0)",-0.064
"(0.6, 0.0)",0
"(0.6, 0.1)",-0.006
"(0.6, 0.2)",-0.026
"(0.6, 0.3)",0.048
"(0.6, 0.4)",-0.05
"(0.6, 0.5)",-0.102
"(0.6, 0.6)",-0.022
"(0.6, 0.7)",0.06
"(0.6, 0.8)",-0.052
"(0.6, 0.9)",-0.072
"(0.6, 1.0)",-0.03
"(0.7, 0.0)",0
"(0.7, 0.1)",0.008
"(0.7, 0.2)",0.014
"(0.7, 0.3)",-0.06
"(0.7, 0.4)",-0.01
"(0.7, 0.5)",0.004
"(0.7, 0.6)",-0.032
"(0.7, 0.7)",0.026
"(0.7, 0.8)",0.004
"(0.7, 0.9)",-0.012
"(0.7, 1.0)",0.056
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.014
"(0.8, 0.2)",-0.028
"(0.8, 0.3)",-0.014
"(0.8, 0.4)",-0.004
"(0.8, 0.5)",-0.022
"(0.8, 0.6)",0.07
"(0.8, 0.7)",0
"(0.8, 0.8)",0.032
"(0.8, 0.9)",-0.024
"(0.8, 1.0)",-0.012
"(0.9, 0.0)",0
"(0.9, 0.1)",-0.006
"(0.9, 0.2)",-0.046
"(0.9, 0.3)",-0.092
"(0.9, 0.4)",-0.078
"(0.9, 0.5)",-0.048
"(0.9, 0.6)",0.07
"(0.9, 0.7)",-0.018
"(0.9, 0.8)",0.002
"(0.9, 0.9)",0.012
"(0.9, 1.0)",-0.008
"(1.0, 0.0)",0
"(1.0, 0.1)",-0.002
"(1.0, 0.2)",0.022
"(1.0, 0.3)",-0.016
"(1.0, 0.4)",0.03
"(1.0, 0.5)",-0.11
"(1.0, 0.6)",-0.054
"(1.0, 0.7)",-0.07
"(1.0, 0.8)",-0.006
"(1.0, 0.9)",-0.042
"(1.0, 1.0)",-0.038
