"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",0.006
"(0.0, 0.2)",0.004
"(0.0, 0.3)",-0.02
"(0.0, 0.4)",-0.002
"(0.0, 0.5)",-0.026
"(0.0, 0.6)",-0.036
"(0.0, 0.7)",-0.03
"(0.0, 0.8)",0.02
"(0.0, 0.9)",0
"(0.0, 1.0)",-0.002
"(0.1, 0.0)",0
"(0.1, 0.1)",0.01
"(0.1, 0.2)",-0.022
"(0.1, 0.3)",-0.036
"(0.1, 0.4)",-0.028
"(0.1, 0.5)",-0.022
"(0.1, 0.6)",-0.056
"(0.1, 0.7)",-0.03
"(0.1, 0.8)",-0.058
"(0.1, 0.9)",-0.06
"(0.1, 1.0)",-0.002
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.014
"(0.2, 0.2)",-0.022
"(0.2, 0.3)",-0.014
"(0.2, 0.4)",-0.066
"(0.2, 0.5)",-0.056
"(0.2, 0.6)",-0.026
"(0.2, 0.7)",-0.068
"(0.2, 0.8)",-0.06
"(0.2, 0.9)",-0.07
"(0.2, 1.0)",-0.042
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.008
"(0.3, 0.2)",0.024
"(0.3, 0.3)",0.002
"(0.3, 0.4)",-0.054
"(0.3, 0.5)",-0.062
"(0.3, 0.6)",-0.006
"(0.3, 0.7)",-0.08
"(0.3, 0.8)",-0.076
"(0.3, 0.9)",-0.026
"(0.3, 1.0)",-0.038
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.008
"(0.4, 0.2)",-0.004
"(0.4, 0.3)",-0.012
"(0.4, 0.4)",-0.046
"(0.4, 0.5)",-0.03
"(0.4, 0.6)",-0.022
"(0.4, 0.7)",-0.04
"(0.4, 0.8)",-0.076
"(0.4, 0.9)",-0.078
"(0.4, 1.0)",-0.072
"(0.5, 0.0)",0
"(0.5, 0.1)",0.018
"(0.5, 0.2)",0.004
"(0.5, 0.3)",0
"(0.5, 0.4)",0
"(0.5, 0.5)",-0.022
"(0.5, 0.6)",-0.062
"(0.5, 0.7)",-0.048
"(0.5, 0.8)",-0.008
"(0.5, 0.9)",-0.038
"(0.5, 1.0)",-0.026
"(0.6, 0.0)",0
"(0.6, 0.1)",0.016
"(0.6, 0.2)",-0.014
"(0.6, 0.3)",-0.036
"(0.6, 0.4)",-0.06
"(0.6, 0.5)",-0.112
"(0.6, 0.6)",-0.024
"(0.6, 0.7)",-0.082
"(0.6, 0.8)",-0.032
"(0.6, 0.9)",-0.074
"(0.6, 1.0)",0.01
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.016
"(0.7, 0.2)",-0.008
"(0.7, 0.3)",-0.024
"(0.7, 0.4)",-0.002
"(0.7, 0.5)",-0.084
"(0.7, 0.6)",-0.07
"(0.7, 0.7)",-0.034
"(0.7, 0.8)",-0.026
"(0.7, 0.9)",-0.036
"(0.7, 1.0)",-0.046
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.028
"(0.8, 0.2)",-0.018
"(0.8, 0.3)",-0.092
"(0.8, 0.4)",-0.022
"(0.8, 0.5)",-0.066
"(0.8, 0.6)",-0.034
"(0.8, 0.7)",-0.084
"(0.8, 0.8)",-0.028
"(0.8, 0.9)",0.054
"(0.8, 1.0)",-0.02
"(0.9, 0.0)",0
"(0.9, 0.1)",0.032
"(0.9, 0.2)",0.016
"(0.9, 0.3)",-0.038
"(0.9, 0.4)",0.028
"(0.9, 0.5)",-0.044
"(0.9, 0.6)",-0.016
"(0.9, 0.7)",0.016
"(0.9, 0.8)",-0.018
"(0.9, 0.9)",-0.052
"(0.9, 1.0)",-0.012
"(1.0, 0.0)",0
"(1.0, 0.1)",0.04
"(1.0, 0.2)",-0.008
"(1.0, 0.3)",0.038
"(1.0, 0.4)",0.064
"(1.0, 0.5)",-0.042
"(1.0, 0.6)",-0.03
"(1.0, 0.7)",-0.15
"(1.0, 0.8)",0.042
"(1.0, 0.9)",0.014
"(1.0, 1.0)",-0.024
