"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",-0.04
"(0.1, 0.1)",-0.032
"(0.1, 0.2)",-0.054
"(0.1, 0.3)",-0.052
"(0.1, 0.4)",-0.056
"(0.1, 0.5)",-0.092
"(0.1, 0.6)",-0.018
"(0.1, 0.7)",-0.014
"(0.1, 0.8)",-0.024
"(0.1, 0.9)",-0.042
"(0.1, 1.0)",-0.07
"(0.2, 0.0)",-0.06
"(0.2, 0.1)",-0.066
"(0.2, 0.2)",-0.08
"(0.2, 0.3)",-0.108
"(0.2, 0.4)",-0.076
"(0.2, 0.5)",-0.088
"(0.2, 0.6)",-0.11
"(0.2, 0.7)",-0.098
"(0.2, 0.8)",-0.052
"(0.2, 0.9)",-0.048
"(0.2, 1.0)",-0.084
"(0.3, 0.0)",-0.006
"(0.3, 0.1)",-0.09
"(0.3, 0.2)",-0.078
"(0.3, 0.3)",-0.098
"(0.3, 0.4)",-0.138
"(0.3, 0.5)",-0.082
"(0.3, 0.6)",-0.08
"(0.3, 0.7)",-0.09
"(0.3, 0.8)",-0.01
"(0.3, 0.9)",-0.078
"(0.3, 1.0)",-0.1
"(0.4, 0.0)",-0.034
"(0.4, 0.1)",-0.05
"(0.4, 0.2)",-0.06
"(0.4, 0.3)",-0.086
"(0.4, 0.4)",-0.048
"(0.4, 0.5)",-0.058
"(0.4, 0.6)",-0.046
"(0.4, 0.7)",-0.09
"(0.4, 0.8)",-0.054
"(0.4, 0.9)",-0.036
"(0.4, 1.0)",-0.092
"(0.5, 0.0)",-0.014
"(0.5, 0.1)",-0.024
"(0.5, 0.2)",-0.052
"(0.5, 0.3)",-0.046
"(0.5, 0.4)",0.002
"(0.5, 0.5)",-0.01
"(0.5, 0.6)",-0.076
"(0.5, 0.7)",-0.034
"(0.5, 0.8)",-0.012
"(0.5, 0.9)",-0.064
"(0.5, 1.0)",-0.106
"(0.6, 0.0)",-0.012
"(0.6, 0.1)",-0.032
"(0.6, 0.2)",-0.082
"(0.6, 0.3)",-0.07
"(0.6, 0.4)",-0.06
"(0.6, 0.5)",-0.052
"(0.6, 0.6)",-0.046
"(0.6, 0.7)",-0.022
"(0.6, 0.8)",-0.02
"(0.6, 0.9)",-0.04
"(0.6, 1.0)",-0.118
"(0.7, 0.0)",0.002
"(0.7, 0.1)",0
"(0.7, 0.2)",-0.028
"(0.7, 0.3)",-0.114
"(0.7, 0.4)",-0.034
"(0.7, 0.5)",-0.058
"(0.7, 0.6)",-0.02
"(0.7, 0.7)",0.018
"(0.7, 0.8)",-0.056
"(0.7, 0.9)",0.064
"(0.7, 1.0)",-0.016
"(0.8, 0.0)",0.01
"(0.8, 0.1)",-0.05
"(0.8, 0.2)",-0.078
"(0.8, 0.3)",-0.046
"(0.8, 0.4)",-0.058
"(0.8, 0.5)",-0.034
"(0.8, 0.6)",-0.12
"(0.8, 0.7)",-0.004
"(0.8, 0.8)",0.024
"(0.8, 0.9)",0.036
"(0.8, 1.0)",-0.042
"(0.9, 0.0)",0.004
"(0.9, 0.1)",-0.068
"(0.9, 0.2)",-0.072
"(0.9, 0.3)",-0.072
"(0.9, 0.4)",-0.086
"(0.9, 0.5)",-0.042
"(0.9, 0.6)",-0.026
"(0.9, 0.7)",-0.042
"(0.9, 0.8)",0.002
"(0.9, 0.9)",-0.028
"(0.9, 1.0)",0.024
"(1.0, 0.0)",-0.004
"(1.0, 0.1)",-0.092
"(1.0, 0.2)",-0.076
"(1.0, 0.3)",-0.046
"(1.0, 0.4)",-0.11
"(1.0, 0.5)",-0.112
"(1.0, 0.6)",-0.006
"(1.0, 0.7)",0
"(1.0, 0.8)",0.01
"(1.0, 0.9)",0.008
"(1.0, 1.0)",-0.014
