"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.032
"(0.0, 0.2)",-0.036
"(0.0, 0.3)",-0.072
"(0.0, 0.4)",-0.066
"(0.0, 0.5)",-0.016
"(0.0, 0.6)",-0.042
"(0.0, 0.7)",-0.032
"(0.0, 0.8)",0.022
"(0.0, 0.9)",0.006
"(0.0, 1.0)",0.004
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.022
"(0.1, 0.2)",-0.072
"(0.1, 0.3)",-0.05
"(0.1, 0.4)",-0.056
"(0.1, 0.5)",-0.07
"(0.1, 0.6)",-0.06
"(0.1, 0.7)",-0.046
"(0.1, 0.8)",-0.026
"(0.1, 0.9)",0.008
"(0.1, 1.0)",0.004
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.052
"(0.2, 0.2)",-0.06
"(0.2, 0.3)",-0.096
"(0.2, 0.4)",-0.05
"(0.2, 0.5)",-0.092
"(0.2, 0.6)",-0.052
"(0.2, 0.7)",-0.07
"(0.2, 0.8)",-0.024
"(0.2, 0.9)",-0.014
"(0.2, 1.0)",0.006
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.038
"(0.3, 0.2)",-0.066
"(0.3, 0.3)",-0.026
"(0.3, 0.4)",-0.112
"(0.3, 0.5)",0.01
"(0.3, 0.6)",-0.114
"(0.3, 0.7)",-0.076
"(0.3, 0.8)",-0.028
"(0.3, 0.9)",-0.036
"(0.3, 1.0)",-0.03
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.062
"(0.4, 0.2)",-0.03
"(0.4, 0.3)",-0.032
"(0.4, 0.4)",-0.064
"(0.4, 0.5)",-0.068
"(0.4, 0.6)",-0.084
"(0.4, 0.7)",-0.054
"(0.4, 0.8)",-0.002
"(0.4, 0.9)",-0.042
"(0.4, 1.0)",-0.026
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.022
"(0.5, 0.2)",-0.062
"(0.5, 0.3)",-0.034
"(0.5, 0.4)",-0.07
"(0.5, 0.5)",-0.054
"(0.5, 0.6)",-0.026
"(0.5, 0.7)",-0.102
"(0.5, 0.8)",-0.02
"(0.5, 0.9)",-0.026
"(0.5, 1.0)",0.004
"(0.6, 0.0)",0
"(0.6, 0.1)",-0.042
"(0.6, 0.2)",-0.068
"(0.6, 0.3)",-0.096
"(0.6, 0.4)",-0.066
"(0.6, 0.5)",-0.076
"(0.6, 0.6)",-0.058
"(0.6, 0.7)",-0.04
"(0.6, 0.8)",-0.03
"(0.6, 0.9)",-0.026
"(0.6, 1.0)",-0.018
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.06
"(0.7, 0.2)",-0.072
"(0.7, 0.3)",-0.024
"(0.7, 0.4)",-0.098
"(0.7, 0.5)",-0.1
"(0.7, 0.6)",-0.064
"(0.7, 0.7)",-0.168
"(0.7, 0.8)",-0.032
"(0.7, 0.9)",-0.05
"(0.7, 1.0)",0.058
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.006
"(0.8, 0.2)",-0.05
"(0.8, 0.3)",-0.022
"(0.8, 0.4)",-0.062
"(0.8, 0.5)",-0.112
"(0.8, 0.6)",-0.1
"(0.8, 0.7)",-0.022
"(0.8, 0.8)",-0.044
"(0.8, 0.9)",-0.03
"(0.8, 1.0)",0.004
"(0.9, 0.0)",0
"(0.9, 0.1)",-0.014
"(0.9, 0.2)",-0.052
"(0.9, 0.3)",-0.064
"(0.9, 0.4)",-0.03
"(0.9, 0.5)",-0.002
"(0.9, 0.6)",-0.042
"(0.9, 0.7)",-0.058
"(0.9, 0.8)",-0.026
"(0.9, 0.9)",0.01
"(0.9, 1.0)",-0.08
"(1.0, 0.0)",0
"(1.0, 0.1)",-0.016
"(1.0, 0.2)",0.018
"(1.0, 0.3)",-0.044
"(1.0, 0.4)",0.016
"(1.0, 0.5)",-0.094
"(1.0, 0.6)",-0.02
"(1.0, 0.7)",-0.01
"(1.0, 0.8)",0.01
"(1.0, 0.9)",0.028
"(1.0, 1.0)",0.018
