b_M,b_W
"(3, 2)",0.8347107438016529
"(4, 2)",0.7933884297520661
"(12, 3)",0.9504132231404959
"(6, 7)",0.9421487603305785
"(15, 6)",0.743801652892562
"(3, 9)",0.7933884297520661
"(9, 6)",0.8842975206611571
"(11, 8)",0.7272727272727273
"(7, 4)",0.7933884297520661
"(6, 4)",0.8016528925619835
"(8, 7)",0.9421487603305785
"(14, 3)",0.8760330578512396
"(12, 5)",0.8842975206611571
"(4, 4)",0.9090909090909091
"(2, 9)",0.9173553719008265
"(2, 15)",0.9338842975206612
"(6, 8)",0.9090909090909091
"(9, 11)",0.8512396694214877
"(9, 8)",0.8429752066115702
"(15, 11)",0.8842975206611571
"(13, 12)",0.7603305785123967
"(14, 14)",0.9008264462809917
"(8, 11)",0.9338842975206612
"(2, 4)",0.9338842975206612
"(12, 6)",0.7768595041322314
"(10, 8)",0.8347107438016529
"(9, 3)",0.9338842975206612
"(10, 3)",0.8925619834710744
"(9, 7)",0.8677685950413223
"(14, 11)",0.9338842975206612
"(6, 5)",0.9338842975206612
"(4, 13)",0.8925619834710744
"(5, 4)",0.8512396694214877
"(4, 3)",0.9421487603305785
"(12, 9)",0.9256198347107438
"(14, 5)",0.8677685950413223
"(14, 13)",0.9173553719008265
"(13, 5)",0.9008264462809917
"(13, 10)",0.7520661157024794
"(7, 5)",0.9008264462809917
"(6, 11)",0.8925619834710744
"(5, 9)",0.8429752066115702
"(2, 8)",0.9338842975206612
"(2, 11)",0.9173553719008265
"(4, 7)",0.9504132231404959
"(7, 15)",0.8099173553719008
"(12, 10)",0.8347107438016529
"(7, 10)",0.7933884297520661
"(10, 15)",0.8677685950413223
"(9, 2)",0.6694214876033058
"(4, 11)",0.9173553719008265
"(15, 4)",0.7520661157024794
"(5, 3)",0.9669421487603306
"(10, 14)",0.8677685950413223
"(2, 7)",0.9338842975206612
"(6, 2)",0.7107438016528925
"(11, 10)",0.7603305785123967
"(10, 10)",0.9256198347107438
"(10, 2)",0.6115702479338843
"(10, 11)",0.9338842975206612
"(11, 9)",0.8842975206611571
"(8, 5)",0.9090909090909091
"(7, 11)",0.7933884297520661
"(4, 15)",0.9173553719008265
"(3, 6)",0.859504132231405
"(2, 10)",0.8842975206611571
"(3, 7)",0.8925619834710744
"(14, 6)",0.7355371900826446
"(15, 7)",0.8181818181818182
"(11, 13)",0.8264462809917356
"(8, 12)",0.9008264462809917
"(5, 14)",0.768595041322314
