"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.034
"(0.0, 0.2)",-0.06
"(0.0, 0.3)",-0.022
"(0.0, 0.4)",0.018
"(0.0, 0.5)",-0.034
"(0.0, 0.6)",-0.004
"(0.0, 0.7)",-0.04
"(0.0, 0.8)",-0.082
"(0.0, 0.9)",0.044
"(0.0, 1.0)",0.012
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.028
"(0.1, 0.2)",-0.058
"(0.1, 0.3)",-0.044
"(0.1, 0.4)",-0.044
"(0.1, 0.5)",-0.038
"(0.1, 0.6)",-0.04
"(0.1, 0.7)",-0.018
"(0.1, 0.8)",-0.03
"(0.1, 0.9)",-0.026
"(0.1, 1.0)",-0.012
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.022
"(0.2, 0.2)",-0.064
"(0.2, 0.3)",-0.07
"(0.2, 0.4)",-0.072
"(0.2, 0.5)",-0.05
"(0.2, 0.6)",-0.016
"(0.2, 0.7)",-0.036
"(0.2, 0.8)",0
"(0.2, 0.9)",-0.03
"(0.2, 1.0)",-0.024
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.024
"(0.3, 0.2)",-0.062
"(0.3, 0.3)",-0.066
"(0.3, 0.4)",-0.044
"(0.3, 0.5)",-0.078
"(0.3, 0.6)",-0.024
"(0.3, 0.7)",-0.014
"(0.3, 0.8)",0.004
"(0.3, 0.9)",0.072
"(0.3, 1.0)",0.028
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.028
"(0.4, 0.2)",-0.04
"(0.4, 0.3)",-0.066
"(0.4, 0.4)",-0.076
"(0.4, 0.5)",-0.034
"(0.4, 0.6)",-0.016
"(0.4, 0.7)",-0.086
"(0.4, 0.8)",-0.046
"(0.4, 0.9)",-0.014
"(0.4, 1.0)",-0.03
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.046
"(0.5, 0.2)",-0.078
"(0.5, 0.3)",-0.04
"(0.5, 0.4)",-0.066
"(0.5, 0.5)",-0.036
"(0.5, 0.6)",-0.088
"(0.5, 0.7)",-0.078
"(0.5, 0.8)",-0.048
"(0.5, 0.9)",-0.006
"(0.5, 1.0)",-0.046
"(0.6, 0.0)",0
"(0.6, 0.1)",-0.028
"(0.6, 0.2)",-0.052
"(0.6, 0.3)",0.004
"(0.6, 0.4)",-0.04
"(0.6, 0.5)",0.016
"(0.6, 0.6)",-0.06
"(0.6, 0.7)",-0.032
"(0.6, 0.8)",-0.006
"(0.6, 0.9)",-0.008
"(0.6, 1.0)",-0.008
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.05
"(0.7, 0.2)",-0.058
"(0.7, 0.3)",-0.082
"(0.7, 0.4)",-0.05
"(0.7, 0.5)",-0.038
"(0.7, 0.6)",-0.016
"(0.7, 0.7)",-0.012
"(0.7, 0.8)",-0.008
"(0.7, 0.9)",-0.042
"(0.7, 1.0)",-0.026
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.034
"(0.8, 0.2)",-0.058
"(0.8, 0.3)",-0.002
"(0.8, 0.4)",-0.1
"(0.8, 0.5)",-0.086
"(0.8, 0.6)",-0.082
"(0.8, 0.7)",-0.018
"(0.8, 0.8)",0.014
"(0.8, 0.9)",-0.066
"(0.8, 1.0)",0.044
"(0.9, 0.0)",0
"(0.9, 0.1)",-0.06
"(0.9, 0.2)",-0.09
"(0.9, 0.3)",-0.034
"(0.9, 0.4)",-0.014
"(0.9, 0.5)",-0.02
"(0.9, 0.6)",0.006
"(0.9, 0.7)",-0.018
"(0.9, 0.8)",-0.042
"(0.9, 0.9)",-0.016
"(0.9, 1.0)",0.012
"(1.0, 0.0)",0
"(1.0, 0.1)",-0.05
"(1.0, 0.2)",-0.016
"(1.0, 0.3)",-0.07
"(1.0, 0.4)",-0.09
"(1.0, 0.5)",-0.098
"(1.0, 0.6)",-0.014
"(1.0, 0.7)",-0.054
"(1.0, 0.8)",-0.064
"(1.0, 0.9)",0.004
"(1.0, 1.0)",0.002
