"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.01
"(0.0, 0.2)",-0.016
"(0.0, 0.3)",-0.036
"(0.0, 0.4)",-0.034
"(0.0, 0.5)",-0.014
"(0.0, 0.6)",-0.026
"(0.0, 0.7)",-0.008
"(0.0, 0.8)",0.004
"(0.0, 0.9)",0.002
"(0.0, 1.0)",0
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.032
"(0.1, 0.2)",-0.07
"(0.1, 0.3)",-0.032
"(0.1, 0.4)",-0.02
"(0.1, 0.5)",-0.038
"(0.1, 0.6)",-0.024
"(0.1, 0.7)",-0.002
"(0.1, 0.8)",0.006
"(0.1, 0.9)",-0.008
"(0.1, 1.0)",-0.002
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.01
"(0.2, 0.2)",-0.01
"(0.2, 0.3)",-0.042
"(0.2, 0.4)",-0.02
"(0.2, 0.5)",-0.09
"(0.2, 0.6)",-0.044
"(0.2, 0.7)",-0.022
"(0.2, 0.8)",0.004
"(0.2, 0.9)",-0.022
"(0.2, 1.0)",0.018
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.008
"(0.3, 0.2)",-0.054
"(0.3, 0.3)",-0.03
"(0.3, 0.4)",-0.104
"(0.3, 0.5)",-0.056
"(0.3, 0.6)",-0.058
"(0.3, 0.7)",-0.034
"(0.3, 0.8)",-0.046
"(0.3, 0.9)",-0.022
"(0.3, 1.0)",0
"(0.4, 0.0)",0
"(0.4, 0.1)",0.012
"(0.4, 0.2)",-0.004
"(0.4, 0.3)",-0.06
"(0.4, 0.4)",-0.082
"(0.4, 0.5)",-0.106
"(0.4, 0.6)",-0.08
"(0.4, 0.7)",-0.062
"(0.4, 0.8)",0.01
"(0.4, 0.9)",-0.074
"(0.4, 1.0)",-0.034
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.016
"(0.5, 0.2)",0.008
"(0.5, 0.3)",-0.042
"(0.5, 0.4)",-0.09
"(0.5, 0.5)",-0.088
"(0.5, 0.6)",-0.032
"(0.5, 0.7)",-0.076
"(0.5, 0.8)",-0.07
"(0.5, 0.9)",-0.024
"(0.5, 1.0)",-0.018
"(0.6, 0.0)",0
"(0.6, 0.1)",0
"(0.6, 0.2)",-0.034
"(0.6, 0.3)",-0.014
"(0.6, 0.4)",-0.036
"(0.6, 0.5)",-0.088
"(0.6, 0.6)",-0.09
"(0.6, 0.7)",-0.042
"(0.6, 0.8)",-0.066
"(0.6, 0.9)",-0.002
"(0.6, 1.0)",-0.052
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.04
"(0.7, 0.2)",-0.018
"(0.7, 0.3)",-0.094
"(0.7, 0.4)",-0.024
"(0.7, 0.5)",-0.052
"(0.7, 0.6)",-0.074
"(0.7, 0.7)",-0.02
"(0.7, 0.8)",-0.074
"(0.7, 0.9)",-0.028
"(0.7, 1.0)",-0.054
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.02
"(0.8, 0.2)",-0.004
"(0.8, 0.3)",0
"(0.8, 0.4)",-0.036
"(0.8, 0.5)",-0.002
"(0.8, 0.6)",-0.066
"(0.8, 0.7)",-0.01
"(0.8, 0.8)",-0.02
"(0.8, 0.9)",0.016
"(0.8, 1.0)",-0.02
"(0.9, 0.0)",0
"(0.9, 0.1)",0.02
"(0.9, 0.2)",0.002
"(0.9, 0.3)",-0.004
"(0.9, 0.4)",-0.064
"(0.9, 0.5)",-0.002
"(0.9, 0.6)",0.006
"(0.9, 0.7)",-0.116
"(0.9, 0.8)",0.028
"(0.9, 0.9)",0.024
"(0.9, 1.0)",-0.036
"(1.0, 0.0)",0
"(1.0, 0.1)",-0.018
"(1.0, 0.2)",0.008
"(1.0, 0.3)",-0.024
"(1.0, 0.4)",-0.018
"(1.0, 0.5)",0.006
"(1.0, 0.6)",-0.036
"(1.0, 0.7)",-0.058
"(1.0, 0.8)",-0.03
"(1.0, 0.9)",0.038
"(1.0, 1.0)",0.02
