"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.02
"(0.1, 0.2)",-0.022
"(0.1, 0.3)",-0.008
"(0.1, 0.4)",-0.004
"(0.1, 0.5)",-0.002
"(0.1, 0.6)",-0.006
"(0.1, 0.7)",-0.002
"(0.1, 0.8)",0.008
"(0.1, 0.9)",0.002
"(0.1, 1.0)",-0.004
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.048
"(0.2, 0.2)",-0.006
"(0.2, 0.3)",-0.082
"(0.2, 0.4)",-0.01
"(0.2, 0.5)",-0.038
"(0.2, 0.6)",-0.016
"(0.2, 0.7)",-0.014
"(0.2, 0.8)",-0.024
"(0.2, 0.9)",0.006
"(0.2, 1.0)",-0.034
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.046
"(0.3, 0.2)",-0.074
"(0.3, 0.3)",-0.104
"(0.3, 0.4)",-0.048
"(0.3, 0.5)",-0.016
"(0.3, 0.6)",-0.062
"(0.3, 0.7)",-0.046
"(0.3, 0.8)",-0.034
"(0.3, 0.9)",-0.02
"(0.3, 1.0)",-0.03
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.062
"(0.4, 0.2)",-0.096
"(0.4, 0.3)",-0.092
"(0.4, 0.4)",-0.05
"(0.4, 0.5)",-0.048
"(0.4, 0.6)",-0.042
"(0.4, 0.7)",-0.05
"(0.4, 0.8)",-0.002
"(0.4, 0.9)",-0.056
"(0.4, 1.0)",-0.004
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.088
"(0.5, 0.2)",-0.036
"(0.5, 0.3)",-0.042
"(0.5, 0.4)",-0.032
"(0.5, 0.5)",-0.064
"(0.5, 0.6)",-0.018
"(0.5, 0.7)",-0.026
"(0.5, 0.8)",-0.04
"(0.5, 0.9)",-0.06
"(0.5, 1.0)",0
"(0.6, 0.0)",0
"(0.6, 0.1)",-0.036
"(0.6, 0.2)",-0.09
"(0.6, 0.3)",-0.026
"(0.6, 0.4)",-0.068
"(0.6, 0.5)",-0.136
"(0.6, 0.6)",-0.084
"(0.6, 0.7)",-0.04
"(0.6, 0.8)",-0.046
"(0.6, 0.9)",-0.042
"(0.6, 1.0)",-0.058
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.022
"(0.7, 0.2)",-0.068
"(0.7, 0.3)",-0.122
"(0.7, 0.4)",-0.098
"(0.7, 0.5)",-0.09
"(0.7, 0.6)",-0.078
"(0.7, 0.7)",-0.012
"(0.7, 0.8)",-0.076
"(0.7, 0.9)",-0.04
"(0.7, 1.0)",-0.082
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.02
"(0.8, 0.2)",-0.022
"(0.8, 0.3)",-0.032
"(0.8, 0.4)",-0.138
"(0.8, 0.5)",-0.13
"(0.8, 0.6)",-0.018
"(0.8, 0.7)",-0.05
"(0.8, 0.8)",-0.036
"(0.8, 0.9)",-0.09
"(0.8, 1.0)",-0.016
"(0.9, 0.0)",0
"(0.9, 0.1)",-0.042
"(0.9, 0.2)",-0.062
"(0.9, 0.3)",-0.048
"(0.9, 0.4)",-0.058
"(0.9, 0.5)",-0.056
"(0.9, 0.6)",-0.024
"(0.9, 0.7)",-0.084
"(0.9, 0.8)",-0.032
"(0.9, 0.9)",-0.042
"(0.9, 1.0)",-0.068
"(1.0, 0.0)",0
"(1.0, 0.1)",-0.052
"(1.0, 0.2)",-0.028
"(1.0, 0.3)",-0.116
"(1.0, 0.4)",-0.044
"(1.0, 0.5)",-0.056
"(1.0, 0.6)",-0.018
"(1.0, 0.7)",-0.08
"(1.0, 0.8)",-0.026
"(1.0, 0.9)",-0.026
"(1.0, 1.0)",0.018
