"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",-0.03
"(0.1, 0.1)",-0.038
"(0.1, 0.2)",-0.074
"(0.1, 0.3)",-0.076
"(0.1, 0.4)",-0.022
"(0.1, 0.5)",-0.056
"(0.1, 0.6)",-0.032
"(0.1, 0.7)",-0.092
"(0.1, 0.8)",-0.078
"(0.1, 0.9)",-0.022
"(0.1, 1.0)",-0.032
"(0.2, 0.0)",-0.03
"(0.2, 0.1)",-0.052
"(0.2, 0.2)",-0.09
"(0.2, 0.3)",-0.124
"(0.2, 0.4)",-0.032
"(0.2, 0.5)",-0.126
"(0.2, 0.6)",-0.046
"(0.2, 0.7)",-0.072
"(0.2, 0.8)",-0.104
"(0.2, 0.9)",-0.04
"(0.2, 1.0)",-0.092
"(0.3, 0.0)",-0.026
"(0.3, 0.1)",-0.054
"(0.3, 0.2)",-0.044
"(0.3, 0.3)",-0.072
"(0.3, 0.4)",-0.108
"(0.3, 0.5)",-0.038
"(0.3, 0.6)",-0.08
"(0.3, 0.7)",-0.028
"(0.3, 0.8)",-0.08
"(0.3, 0.9)",-0.06
"(0.3, 1.0)",-0.01
"(0.4, 0.0)",-0.046
"(0.4, 0.1)",-0.062
"(0.4, 0.2)",-0.052
"(0.4, 0.3)",-0.048
"(0.4, 0.4)",-0.064
"(0.4, 0.5)",-0.048
"(0.4, 0.6)",-0.08
"(0.4, 0.7)",-0.118
"(0.4, 0.8)",-0.06
"(0.4, 0.9)",-0.026
"(0.4, 1.0)",0.018
"(0.5, 0.0)",-0.078
"(0.5, 0.1)",-0.04
"(0.5, 0.2)",-0.076
"(0.5, 0.3)",0.006
"(0.5, 0.4)",-0.058
"(0.5, 0.5)",-0.034
"(0.5, 0.6)",-0.014
"(0.5, 0.7)",-0.008
"(0.5, 0.8)",-0.078
"(0.5, 0.9)",-0.018
"(0.5, 1.0)",-0.056
"(0.6, 0.0)",0.006
"(0.6, 0.1)",0.016
"(0.6, 0.2)",-0.036
"(0.6, 0.3)",0.01
"(0.6, 0.4)",-0.016
"(0.6, 0.5)",-0.058
"(0.6, 0.6)",0.006
"(0.6, 0.7)",0.04
"(0.6, 0.8)",-0.006
"(0.6, 0.9)",-0.024
"(0.6, 1.0)",0.036
"(0.7, 0.0)",0.002
"(0.7, 0.1)",-0.006
"(0.7, 0.2)",0.002
"(0.7, 0.3)",0.008
"(0.7, 0.4)",0.004
"(0.7, 0.5)",-0.042
"(0.7, 0.6)",-0.03
"(0.7, 0.7)",-0.018
"(0.7, 0.8)",-0.014
"(0.7, 0.9)",0.01
"(0.7, 1.0)",0.016
"(0.8, 0.0)",-0.012
"(0.8, 0.1)",-0.02
"(0.8, 0.2)",0.022
"(0.8, 0.3)",-0.008
"(0.8, 0.4)",-0.01
"(0.8, 0.5)",0.014
"(0.8, 0.6)",-0.01
"(0.8, 0.7)",0.004
"(0.8, 0.8)",0.002
"(0.8, 0.9)",0.012
"(0.8, 1.0)",0.006
"(0.9, 0.0)",0.016
"(0.9, 0.1)",-0.03
"(0.9, 0.2)",0.004
"(0.9, 0.3)",0.022
"(0.9, 0.4)",-0.038
"(0.9, 0.5)",-0.026
"(0.9, 0.6)",0.002
"(0.9, 0.7)",-0.006
"(0.9, 0.8)",-0.002
"(0.9, 0.9)",-0.01
"(0.9, 1.0)",-0.004
"(1.0, 0.0)",-0.006
"(1.0, 0.1)",-0.016
"(1.0, 0.2)",-0.028
"(1.0, 0.3)",0
"(1.0, 0.4)",-0.004
"(1.0, 0.5)",-0.002
"(1.0, 0.6)",0.004
"(1.0, 0.7)",-0.014
"(1.0, 0.8)",0.03
"(1.0, 0.9)",0.008
"(1.0, 1.0)",0
