"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",-0.018
"(0.1, 0.1)",-0.026
"(0.1, 0.2)",-0.02
"(0.1, 0.3)",-0.008
"(0.1, 0.4)",-0.024
"(0.1, 0.5)",-0.026
"(0.1, 0.6)",-0.002
"(0.1, 0.7)",-0.036
"(0.1, 0.8)",-0.04
"(0.1, 0.9)",-0.03
"(0.1, 1.0)",-0.022
"(0.2, 0.0)",-0.032
"(0.2, 0.1)",-0.038
"(0.2, 0.2)",-0.034
"(0.2, 0.3)",-0.044
"(0.2, 0.4)",-0.048
"(0.2, 0.5)",-0.028
"(0.2, 0.6)",-0.042
"(0.2, 0.7)",-0.03
"(0.2, 0.8)",-0.048
"(0.2, 0.9)",-0.04
"(0.2, 1.0)",-0.03
"(0.3, 0.0)",-0.068
"(0.3, 0.1)",-0.06
"(0.3, 0.2)",-0.056
"(0.3, 0.3)",-0.058
"(0.3, 0.4)",-0.068
"(0.3, 0.5)",-0.046
"(0.3, 0.6)",-0.056
"(0.3, 0.7)",-0.056
"(0.3, 0.8)",-0.052
"(0.3, 0.9)",-0.066
"(0.3, 1.0)",-0.036
"(0.4, 0.0)",-0.018
"(0.4, 0.1)",-0.046
"(0.4, 0.2)",-0.052
"(0.4, 0.3)",-0.084
"(0.4, 0.4)",-0.03
"(0.4, 0.5)",-0.084
"(0.4, 0.6)",-0.052
"(0.4, 0.7)",-0.052
"(0.4, 0.8)",-0.048
"(0.4, 0.9)",-0.008
"(0.4, 1.0)",-0.06
"(0.5, 0.0)",-0.102
"(0.5, 0.1)",-0.044
"(0.5, 0.2)",-0.042
"(0.5, 0.3)",-0.102
"(0.5, 0.4)",-0.122
"(0.5, 0.5)",-0.06
"(0.5, 0.6)",-0.11
"(0.5, 0.7)",-0.054
"(0.5, 0.8)",-0.032
"(0.5, 0.9)",-0.034
"(0.5, 1.0)",-0.094
"(0.6, 0.0)",-0.142
"(0.6, 0.1)",-0.132
"(0.6, 0.2)",-0.172
"(0.6, 0.3)",-0.126
"(0.6, 0.4)",-0.118
"(0.6, 0.5)",-0.114
"(0.6, 0.6)",-0.12
"(0.6, 0.7)",-0.168
"(0.6, 0.8)",-0.108
"(0.6, 0.9)",-0.056
"(0.6, 1.0)",-0.078
"(0.7, 0.0)",-0.064
"(0.7, 0.1)",-0.144
"(0.7, 0.2)",-0.126
"(0.7, 0.3)",-0.106
"(0.7, 0.4)",-0.15
"(0.7, 0.5)",-0.208
"(0.7, 0.6)",-0.166
"(0.7, 0.7)",-0.068
"(0.7, 0.8)",-0.03
"(0.7, 0.9)",-0.022
"(0.7, 1.0)",-0.072
"(0.8, 0.0)",-0.114
"(0.8, 0.1)",-0.09
"(0.8, 0.2)",-0.086
"(0.8, 0.3)",-0.022
"(0.8, 0.4)",-0.06
"(0.8, 0.5)",-0.154
"(0.8, 0.6)",-0.144
"(0.8, 0.7)",-0.04
"(0.8, 0.8)",-0.182
"(0.8, 0.9)",-0.076
"(0.8, 1.0)",-0.108
"(0.9, 0.0)",0.036
"(0.9, 0.1)",-0.092
"(0.9, 0.2)",-0.026
"(0.9, 0.3)",0.01
"(0.9, 0.4)",-0.09
"(0.9, 0.5)",-0.038
"(0.9, 0.6)",-0.036
"(0.9, 0.7)",-0.004
"(0.9, 0.8)",-0.122
"(0.9, 0.9)",-0.03
"(0.9, 1.0)",0.006
"(1.0, 0.0)",0.02
"(1.0, 0.1)",0.03
"(1.0, 0.2)",0.006
"(1.0, 0.3)",-0.024
"(1.0, 0.4)",0.086
"(1.0, 0.5)",-0.098
"(1.0, 0.6)",0.11
"(1.0, 0.7)",-0.078
"(1.0, 0.8)",-0.034
"(1.0, 0.9)",-0.058
"(1.0, 1.0)",0.008
