"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",0.006
"(0.0, 0.2)",-0.04
"(0.0, 0.3)",-0.016
"(0.0, 0.4)",-0.034
"(0.0, 0.5)",0.032
"(0.0, 0.6)",-0.05
"(0.0, 0.7)",0.004
"(0.0, 0.8)",-0.004
"(0.0, 0.9)",0.008
"(0.0, 1.0)",-0.006
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.056
"(0.1, 0.2)",-0.05
"(0.1, 0.3)",-0.026
"(0.1, 0.4)",-0.122
"(0.1, 0.5)",-0.1
"(0.1, 0.6)",-0.082
"(0.1, 0.7)",-0.07
"(0.1, 0.8)",0.01
"(0.1, 0.9)",-0.032
"(0.1, 1.0)",-0.034
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.042
"(0.2, 0.2)",-0.054
"(0.2, 0.3)",-0.078
"(0.2, 0.4)",-0.042
"(0.2, 0.5)",-0.074
"(0.2, 0.6)",-0.114
"(0.2, 0.7)",-0.044
"(0.2, 0.8)",-0.054
"(0.2, 0.9)",-0.056
"(0.2, 1.0)",-0.02
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.042
"(0.3, 0.2)",-0.064
"(0.3, 0.3)",-0.042
"(0.3, 0.4)",-0.116
"(0.3, 0.5)",-0.07
"(0.3, 0.6)",-0.09
"(0.3, 0.7)",-0.032
"(0.3, 0.8)",-0.068
"(0.3, 0.9)",-0.042
"(0.3, 1.0)",-0.036
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.026
"(0.4, 0.2)",-0.04
"(0.4, 0.3)",-0.056
"(0.4, 0.4)",-0.068
"(0.4, 0.5)",-0.054
"(0.4, 0.6)",-0.106
"(0.4, 0.7)",-0.056
"(0.4, 0.8)",-0.03
"(0.4, 0.9)",-0.044
"(0.4, 1.0)",-0.094
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.042
"(0.5, 0.2)",-0.064
"(0.5, 0.3)",-0.058
"(0.5, 0.4)",-0.068
"(0.5, 0.5)",-0.062
"(0.5, 0.6)",-0.066
"(0.5, 0.7)",-0.094
"(0.5, 0.8)",-0.092
"(0.5, 0.9)",-0.05
"(0.5, 1.0)",-0.038
"(0.6, 0.0)",0
"(0.6, 0.1)",-0.014
"(0.6, 0.2)",-0.012
"(0.6, 0.3)",-0.094
"(0.6, 0.4)",-0.088
"(0.6, 0.5)",-0.036
"(0.6, 0.6)",-0.05
"(0.6, 0.7)",-0.054
"(0.6, 0.8)",-0.068
"(0.6, 0.9)",-0.044
"(0.6, 1.0)",0.02
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.05
"(0.7, 0.2)",-0.044
"(0.7, 0.3)",-0.098
"(0.7, 0.4)",-0.046
"(0.7, 0.5)",-0.056
"(0.7, 0.6)",-0.102
"(0.7, 0.7)",-0.012
"(0.7, 0.8)",-0.072
"(0.7, 0.9)",0.002
"(0.7, 1.0)",0.004
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.034
"(0.8, 0.2)",-0.042
"(0.8, 0.3)",-0.036
"(0.8, 0.4)",-0.072
"(0.8, 0.5)",0.02
"(0.8, 0.6)",-0.084
"(0.8, 0.7)",-0.034
"(0.8, 0.8)",-0.086
"(0.8, 0.9)",-0.008
"(0.8, 1.0)",-0.038
"(0.9, 0.0)",0
"(0.9, 0.1)",-0.038
"(0.9, 0.2)",-0.02
"(0.9, 0.3)",-0.052
"(0.9, 0.4)",-0.09
"(0.9, 0.5)",-0.036
"(0.9, 0.6)",-0.092
"(0.9, 0.7)",-0.082
"(0.9, 0.8)",-0.07
"(0.9, 0.9)",-0.032
"(0.9, 1.0)",-0.052
"(1.0, 0.0)",0
"(1.0, 0.1)",-0.014
"(1.0, 0.2)",-0.038
"(1.0, 0.3)",-0.032
"(1.0, 0.4)",-0.052
"(1.0, 0.5)",-0.044
"(1.0, 0.6)",-0.052
"(1.0, 0.7)",-0.054
"(1.0, 0.8)",-0.018
"(1.0, 0.9)",0.096
"(1.0, 1.0)",0.042
