"phi_men, phi_women",diff_unmatched
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.01
"(0.1, 0.2)",-0.022
"(0.1, 0.3)",-0.012
"(0.1, 0.4)",-0.018
"(0.1, 0.5)",0.002
"(0.1, 0.6)",0.014
"(0.1, 0.7)",0.024
"(0.1, 0.8)",0.02
"(0.1, 0.9)",-0.018
"(0.1, 1.0)",-0.012
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.06
"(0.2, 0.2)",-0.064
"(0.2, 0.3)",-0.012
"(0.2, 0.4)",-0.006
"(0.2, 0.5)",-0.034
"(0.2, 0.6)",-0.012
"(0.2, 0.7)",-0.006
"(0.2, 0.8)",-0.028
"(0.2, 0.9)",-0.04
"(0.2, 1.0)",-0.02
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.068
"(0.3, 0.2)",-0.096
"(0.3, 0.3)",-0.036
"(0.3, 0.4)",-0.08
"(0.3, 0.5)",-0.02
"(0.3, 0.6)",-0.004
"(0.3, 0.7)",-0.08
"(0.3, 0.8)",-0.062
"(0.3, 0.9)",-0.022
"(0.3, 1.0)",0.012
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.08
"(0.4, 0.2)",-0.052
"(0.4, 0.3)",-0.062
"(0.4, 0.4)",-0.032
"(0.4, 0.5)",-0.03
"(0.4, 0.6)",-0.03
"(0.4, 0.7)",-0.026
"(0.4, 0.8)",0.004
"(0.4, 0.9)",-0.008
"(0.4, 1.0)",-0.042
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.048
"(0.5, 0.2)",-0.08
"(0.5, 0.3)",-0.074
"(0.5, 0.4)",-0.012
"(0.5, 0.5)",-0.076
"(0.5, 0.6)",-0.028
"(0.5, 0.7)",0.018
"(0.5, 0.8)",-0.014
"(0.5, 0.9)",-0.002
"(0.5, 1.0)",-0.05
"(0.6, 0.0)",0
"(0.6, 0.1)",-0.082
"(0.6, 0.2)",-0.102
"(0.6, 0.3)",-0.1
"(0.6, 0.4)",-0.062
"(0.6, 0.5)",-0.068
"(0.6, 0.6)",-0.014
"(0.6, 0.7)",-0.074
"(0.6, 0.8)",0.008
"(0.6, 0.9)",-0.042
"(0.6, 1.0)",-0.016
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.036
"(0.7, 0.2)",-0.112
"(0.7, 0.3)",-0.042
"(0.7, 0.4)",-0.148
"(0.7, 0.5)",-0.082
"(0.7, 0.6)",-0.014
"(0.7, 0.7)",-0.072
"(0.7, 0.8)",-0.044
"(0.7, 0.9)",-0.056
"(0.7, 1.0)",-0.048
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.074
"(0.8, 0.2)",-0.054
"(0.8, 0.3)",-0.038
"(0.8, 0.4)",-0.068
"(0.8, 0.5)",-0.12
"(0.8, 0.6)",-0.024
"(0.8, 0.7)",0.004
"(0.8, 0.8)",-0.112
"(0.8, 0.9)",-0.07
"(0.8, 1.0)",-0.006
"(0.9, 0.0)",0
"(0.9, 0.1)",-0.06
"(0.9, 0.2)",-0.042
"(0.9, 0.3)",-0.04
"(0.9, 0.4)",-0.06
"(0.9, 0.5)",-0.08
"(0.9, 0.6)",-0.056
"(0.9, 0.7)",-0.058
"(0.9, 0.8)",0.012
"(0.9, 0.9)",-0.052
"(0.9, 1.0)",0.01
"(1.0, 0.0)",0
"(1.0, 0.1)",-0.018
"(1.0, 0.2)",-0.038
"(1.0, 0.3)",-0.08
"(1.0, 0.4)",-0.062
"(1.0, 0.5)",-0.022
"(1.0, 0.6)",0.056
"(1.0, 0.7)",-0.116
"(1.0, 0.8)",0.01
"(1.0, 0.9)",-0.036
"(1.0, 1.0)",0.016
