dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,94.808,6.507829106496168,95.318,6.572005669278905
1,94.762,6.413081258057229,95.532,6.193358651230004
2,95.424,5.894549637662043,95.966,6.340761350896123
3,95.076,6.0669464872667795,95.682,6.409292790014844
4,94.864,6.331641443317323,96.172,6.397520812399923
5,94.898,6.234206176676114,96.024,6.379405743113581
6,94.638,6.294935140002132,95.824,6.512284060709787
7,94.916,6.774121451737175,95.778,6.659836547971082
8,94.444,6.163671445768566,95.648,6.660692580453072
9,94.802,6.527174274371417,95.924,6.7564430765079475
10,94.678,6.443084873363903,95.528,6.615492838102235
