dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,112.084,3.358497135031088,112.742,3.501421984254918
1,112.102,3.2785811242634755,112.672,3.312152881952591
2,111.95,3.351711195176539,112.556,3.34623049370991
3,111.57,3.6226160013706634,112.414,3.645433083287836
4,112.016,3.355333146058985,112.546,3.3163051366722933
5,111.824,3.491332525785996,112.236,3.5368520813416247
6,112.02,3.5094490258343773,112.788,3.4633865063235967
7,112.028,3.4085851765522337,112.582,3.5480209844097064
8,111.99,3.15433029329498,112.892,3.4543017240538796
9,112.208,3.1813484493075928,112.724,3.1603480186837647
10,111.852,3.2875083912966203,112.37,3.380525981533591
