phi_men,phi_women
"(0.0, 0.0)",24
"(0.1, 0.0)",24
"(0.2, 0.0)",24
"(0.3, 0.0)",24
"(0.4, 0.0)",24
"(0.5, 0.0)",24
"(0.6, 0.0)",24
"(0.7, 0.0)",24
"(0.8, 0.0)",24
"(0.9, 0.0)",24
"(1.0, 0.0)",24
"(0.0, 0.1)",23.632
"(0.1, 0.1)",23.634
"(0.2, 0.1)",23.64
"(0.3, 0.1)",23.6
"(0.4, 0.1)",23.562
"(0.5, 0.1)",23.466
"(0.6, 0.1)",23.5
"(0.7, 0.1)",23.434
"(0.8, 0.1)",23.41
"(0.9, 0.1)",23.324
"(1.0, 0.1)",23.354
"(0.0, 0.2)",23.326
"(0.1, 0.2)",23.252
"(0.2, 0.2)",23.26
"(0.3, 0.2)",23.202
"(0.4, 0.2)",23.126
"(0.5, 0.2)",23.03
"(0.6, 0.2)",22.98
"(0.7, 0.2)",22.824
"(0.8, 0.2)",22.762
"(0.9, 0.2)",22.66
"(1.0, 0.2)",22.628
"(0.0, 0.3)",22.93
"(0.1, 0.3)",22.844
"(0.2, 0.3)",22.834
"(0.3, 0.3)",22.722
"(0.4, 0.3)",22.57
"(0.5, 0.3)",22.55
"(0.6, 0.3)",22.368
"(0.7, 0.3)",22.204
"(0.8, 0.3)",22.034
"(0.9, 0.3)",21.894
"(1.0, 0.3)",21.932
"(0.0, 0.4)",22.63
"(0.1, 0.4)",22.522
"(0.2, 0.4)",22.428
"(0.3, 0.4)",22.338
"(0.4, 0.4)",22.218
"(0.5, 0.4)",21.962
"(0.6, 0.4)",21.778
"(0.7, 0.4)",21.686
"(0.8, 0.4)",21.32
"(0.9, 0.4)",21.154
"(1.0, 0.4)",21.12
"(0.0, 0.5)",22.366
"(0.1, 0.5)",22.282
"(0.2, 0.5)",22.094
"(0.3, 0.5)",21.928
"(0.4, 0.5)",21.706
"(0.5, 0.5)",21.398
"(0.6, 0.5)",21.114
"(0.7, 0.5)",20.724
"(0.8, 0.5)",20.494
"(0.9, 0.5)",20.246
"(1.0, 0.5)",20.216
"(0.0, 0.6)",22.2
"(0.1, 0.6)",22.034
"(0.2, 0.6)",21.8
"(0.3, 0.6)",21.46
"(0.4, 0.6)",21.178
"(0.5, 0.6)",20.836
"(0.6, 0.6)",20.426
"(0.7, 0.6)",19.924
"(0.8, 0.6)",19.388
"(0.9, 0.6)",19.262
"(1.0, 0.6)",19.044
"(0.0, 0.7)",22.068
"(0.1, 0.7)",21.782
"(0.2, 0.7)",21.48
"(0.3, 0.7)",21.054
"(0.4, 0.7)",20.752
"(0.5, 0.7)",20.082
"(0.6, 0.7)",19.542
"(0.7, 0.7)",18.944
"(0.8, 0.7)",18.302
"(0.9, 0.7)",17.81
"(1.0, 0.7)",17.846
"(0.0, 0.8)",22.026
"(0.1, 0.8)",21.642
"(0.2, 0.8)",21.176
"(0.3, 0.8)",20.832
"(0.4, 0.8)",20.218
"(0.5, 0.8)",19.624
"(0.6, 0.8)",18.808
"(0.7, 0.8)",17.902
"(0.8, 0.8)",17.176
"(0.9, 0.8)",16.614
"(1.0, 0.8)",16.418
"(0.0, 0.9)",22.004
"(0.1, 0.9)",21.56
"(0.2, 0.9)",21.132
"(0.3, 0.9)",20.582
"(0.4, 0.9)",20.052
"(0.5, 0.9)",19.162
"(0.6, 0.9)",18.424
"(0.7, 0.9)",17.304
"(0.8, 0.9)",16.246
"(0.9, 0.9)",15.556
"(1.0, 0.9)",15.254
"(0.0, 1.0)",22.004
"(0.1, 1.0)",21.56
"(0.2, 1.0)",21.07
"(0.3, 1.0)",20.448
"(0.4, 1.0)",19.894
"(0.5, 1.0)",19.156
"(0.6, 1.0)",18.238
"(0.7, 1.0)",17.104
"(0.8, 1.0)",15.982
"(0.9, 1.0)",15.208
"(1.0, 1.0)",14.774
