phi_men,phi_women
"(0.0, 0.0)",20
"(0.1, 0.0)",20
"(0.2, 0.0)",20
"(0.3, 0.0)",20
"(0.4, 0.0)",20
"(0.5, 0.0)",20
"(0.6, 0.0)",20
"(0.7, 0.0)",20
"(0.8, 0.0)",20
"(0.9, 0.0)",20
"(1.0, 0.0)",20
"(0.0, 0.1)",20
"(0.1, 0.1)",20.2
"(0.2, 0.1)",19.8
"(0.3, 0.1)",20
"(0.4, 0.1)",19.4
"(0.5, 0.1)",20
"(0.6, 0.1)",19
"(0.7, 0.1)",19
"(0.8, 0.1)",19.6
"(0.9, 0.1)",19
"(1.0, 0.1)",19.2
"(0.0, 0.2)",20
"(0.1, 0.2)",20
"(0.2, 0.2)",19.2
"(0.3, 0.2)",19.6
"(0.4, 0.2)",19.6
"(0.5, 0.2)",19
"(0.6, 0.2)",20
"(0.7, 0.2)",19.4
"(0.8, 0.2)",18.4
"(0.9, 0.2)",18
"(1.0, 0.2)",18.6
"(0.0, 0.3)",20
"(0.1, 0.3)",19.6
"(0.2, 0.3)",19.8
"(0.3, 0.3)",19.2
"(0.4, 0.3)",18.8
"(0.5, 0.3)",19
"(0.6, 0.3)",18.6
"(0.7, 0.3)",18.6
"(0.8, 0.3)",18.2
"(0.9, 0.3)",18.2
"(1.0, 0.3)",18.2
"(0.0, 0.4)",20
"(0.1, 0.4)",20
"(0.2, 0.4)",19.6
"(0.3, 0.4)",19.6
"(0.4, 0.4)",19.4
"(0.5, 0.4)",19
"(0.6, 0.4)",18.6
"(0.7, 0.4)",18.2
"(0.8, 0.4)",17.2
"(0.9, 0.4)",16.6
"(1.0, 0.4)",16.6
"(0.0, 0.5)",20
"(0.1, 0.5)",19.4
"(0.2, 0.5)",19
"(0.3, 0.5)",19
"(0.4, 0.5)",19.2
"(0.5, 0.5)",19.2
"(0.6, 0.5)",17.6
"(0.7, 0.5)",17
"(0.8, 0.5)",15.8
"(0.9, 0.5)",16
"(1.0, 0.5)",16.2
"(0.0, 0.6)",20
"(0.1, 0.6)",19.6
"(0.2, 0.6)",19.4
"(0.3, 0.6)",18
"(0.4, 0.6)",19
"(0.5, 0.6)",17.4
"(0.6, 0.6)",16.4
"(0.7, 0.6)",15.6
"(0.8, 0.6)",14.6
"(0.9, 0.6)",15.4
"(1.0, 0.6)",13.8
"(0.0, 0.7)",20
"(0.1, 0.7)",19.4
"(0.2, 0.7)",18.8
"(0.3, 0.7)",19
"(0.4, 0.7)",18
"(0.5, 0.7)",16.6
"(0.6, 0.7)",16.2
"(0.7, 0.7)",15
"(0.8, 0.7)",14.2
"(0.9, 0.7)",12.2
"(1.0, 0.7)",12.6
"(0.0, 0.8)",20
"(0.1, 0.8)",19.6
"(0.2, 0.8)",19
"(0.3, 0.8)",18.4
"(0.4, 0.8)",18.2
"(0.5, 0.8)",16
"(0.6, 0.8)",14.8
"(0.7, 0.8)",13.8
"(0.8, 0.8)",11.8
"(0.9, 0.8)",12
"(1.0, 0.8)",10
"(0.0, 0.9)",20
"(0.1, 0.9)",19.6
"(0.2, 0.9)",18.8
"(0.3, 0.9)",18.6
"(0.4, 0.9)",17.6
"(0.5, 0.9)",16.2
"(0.6, 0.9)",14
"(0.7, 0.9)",12
"(0.8, 0.9)",9.6
"(0.9, 0.9)",9.6
"(1.0, 0.9)",9.4
"(0.0, 1.0)",20
"(0.1, 1.0)",19.2
"(0.2, 1.0)",18.6
"(0.3, 1.0)",18.8
"(0.4, 1.0)",17.2
"(0.5, 1.0)",16
"(0.6, 1.0)",15
"(0.7, 1.0)",11.4
"(0.8, 1.0)",10.8
"(0.9, 1.0)",8.6
"(1.0, 1.0)",8.6
