support_pdi,borda sum
14,171
14,180
14,193
14,185
14,194
14,195
14,178
14,169
14,189
14,187
14,180
14,191
14,173
14,184
14,177
14,184
14,186
14,187
14,191
14,194
14,178
14,190
14,185
14,172
14,187
14,173
14,182
14,184
14,190
14,167
14,192
14,186
14,168
14,185
14,170
14,181
14,204
14,189
14,174
14,180
14,191
14,189
14,186
14,199
14,192
14,185
14,181
14,187
14,184
14,187
14,180
14,192
14,183
14,172
14,174
14,175
14,196
14,183
14,177
14,184
14,189
14,185
14,199
14,181
14,182
14,183
14,173
14,192
14,182
14,189
14,165
14,184
14,195
14,170
14,182
14,184
14,184
14,183
14,177
14,182
14,195
14,198
14,190
14,174
14,178
14,194
14,185
14,156
14,179
14,185
14,177
14,183
14,183
14,189
14,176
14,189
14,184
14,190
14,193
14,191
