support_pdi,borda sum
14,199
14,187
14,200
14,192
14,181
14,191
14,183
14,188
14,191
14,185
14,186
14,189
14,171
14,182
14,188
14,187
14,188
14,187
14,179
14,179
14,190
14,172
14,182
14,188
14,179
14,178
14,174
14,189
14,193
14,195
14,187
14,186
14,178
14,183
14,190
14,193
14,202
14,183
14,192
14,190
14,188
14,192
14,170
14,172
14,204
14,185
14,186
14,186
14,195
14,188
14,185
14,194
14,196
14,200
14,187
14,185
14,192
14,181
14,194
14,191
14,191
14,192
14,181
14,193
14,194
14,181
14,172
14,183
14,191
14,188
14,178
14,175
14,184
14,192
14,179
14,186
14,191
14,193
14,198
14,177
14,178
14,187
14,173
14,186
14,192
14,187
14,186
14,197
14,188
14,195
14,175
14,184
14,188
14,183
14,182
14,200
14,191
14,190
14,193
14,201
