phi_men,phi_women
"(0.0, 0.0)",65
"(0.1, 0.0)",64.005
"(0.2, 0.0)",62.793
"(0.3, 0.0)",61.266
"(0.4, 0.0)",58.943
"(0.5, 0.0)",55.704
"(0.6, 0.0)",51.456
"(0.7, 0.0)",45.796
"(0.8, 0.0)",38.719
"(0.9, 0.0)",32.89
"(1.0, 0.0)",30.593
"(0.0, 0.1)",65
"(0.1, 0.1)",64.101
"(0.2, 0.1)",62.891
"(0.3, 0.1)",61.276
"(0.4, 0.1)",59.082
"(0.5, 0.1)",55.794
"(0.6, 0.1)",51.761
"(0.7, 0.1)",45.847
"(0.8, 0.1)",38.831
"(0.9, 0.1)",33.006
"(1.0, 0.1)",30.603
"(0.0, 0.2)",65
"(0.1, 0.2)",64.154
"(0.2, 0.2)",63.096
"(0.3, 0.2)",61.302
"(0.4, 0.2)",59.143
"(0.5, 0.2)",55.901
"(0.6, 0.2)",51.57
"(0.7, 0.2)",46.04
"(0.8, 0.2)",39.024
"(0.9, 0.2)",33.081
"(1.0, 0.2)",30.661
"(0.0, 0.3)",65
"(0.1, 0.3)",64.234
"(0.2, 0.3)",63.105
"(0.3, 0.3)",61.577
"(0.4, 0.3)",59.335
"(0.5, 0.3)",56.171
"(0.6, 0.3)",51.669
"(0.7, 0.3)",45.83
"(0.8, 0.3)",39.07
"(0.9, 0.3)",33.159
"(1.0, 0.3)",30.519
"(0.0, 0.4)",65
"(0.1, 0.4)",64.339
"(0.2, 0.4)",63.239
"(0.3, 0.4)",61.827
"(0.4, 0.4)",59.487
"(0.5, 0.4)",56.393
"(0.6, 0.4)",51.977
"(0.7, 0.4)",45.953
"(0.8, 0.4)",39.111
"(0.9, 0.4)",33.036
"(1.0, 0.4)",30.827
"(0.0, 0.5)",65
"(0.1, 0.5)",64.482
"(0.2, 0.5)",63.491
"(0.3, 0.5)",62.091
"(0.4, 0.5)",59.781
"(0.5, 0.5)",56.947
"(0.6, 0.5)",52.623
"(0.7, 0.5)",46.688
"(0.8, 0.5)",39.485
"(0.9, 0.5)",33.653
"(1.0, 0.5)",31.044
"(0.0, 0.6)",65
"(0.1, 0.6)",64.562
"(0.2, 0.6)",63.766
"(0.3, 0.6)",62.513
"(0.4, 0.6)",60.377
"(0.5, 0.6)",57.359
"(0.6, 0.6)",53.086
"(0.7, 0.6)",47.252
"(0.8, 0.6)",39.827
"(0.9, 0.6)",33.877
"(1.0, 0.6)",31.348
"(0.0, 0.7)",65
"(0.1, 0.7)",64.678
"(0.2, 0.7)",64.01
"(0.3, 0.7)",62.852
"(0.4, 0.7)",60.873
"(0.5, 0.7)",58.274
"(0.6, 0.7)",53.719
"(0.7, 0.7)",47.936
"(0.8, 0.7)",40.662
"(0.9, 0.7)",34.363
"(1.0, 0.7)",31.956
"(0.0, 0.8)",65
"(0.1, 0.8)",64.738
"(0.2, 0.8)",64.225
"(0.3, 0.8)",63.168
"(0.4, 0.8)",61.497
"(0.5, 0.8)",58.667
"(0.6, 0.8)",54.622
"(0.7, 0.8)",48.795
"(0.8, 0.8)",42.012
"(0.9, 0.8)",35.103
"(1.0, 0.8)",32.575
"(0.0, 0.9)",65
"(0.1, 0.9)",64.815
"(0.2, 0.9)",64.303
"(0.3, 0.9)",63.366
"(0.4, 0.9)",61.676
"(0.5, 0.9)",59.376
"(0.6, 0.9)",55.675
"(0.7, 0.9)",49.888
"(0.8, 0.9)",42.98
"(0.9, 0.9)",35.96
"(1.0, 0.9)",33.366
"(0.0, 1.0)",65
"(0.1, 1.0)",64.778
"(0.2, 1.0)",64.301
"(0.3, 1.0)",63.46
"(0.4, 1.0)",62.006
"(0.5, 1.0)",59.516
"(0.6, 1.0)",55.68
"(0.7, 1.0)",50.075
"(0.8, 1.0)",43.384
"(0.9, 1.0)",36.526
"(1.0, 1.0)",34.069
