dispersion,suitors borda_mean,suitors borda_stdev,reviewers borda_mean,reviewers borda_stdev
0.0,7,0.0,12.452466666666666,0.5016162554748854
0.05,7.0304,0.08015289582373902,12.423666666666668,0.47927100966019287
0.1,7.056333333333334,0.12755191771955518,12.3908,0.48695109637328887
0.15,7.0828,0.16846789106298002,12.378866666666667,0.5072031957198369
0.2,7.142,0.20749068827070866,12.3672,0.5221037328571967
0.25,7.195266666666667,0.256079099877915,12.311533333333333,0.5211917548174896
0.3,7.2884,0.2985131582714852,12.2622,0.5649555550870069
0.35,7.363866666666667,0.33875626148247423,12.247933333333334,0.5568395133042466
0.4,7.507133333333333,0.3943802257074963,12.1688,0.5968701073400705
0.45,7.636,0.4477375496401907,12.1168,0.6164341687623676
0.5,7.8286,0.5341708430836635,12.044333333333334,0.6218673913188558
0.55,8.099933333333333,0.6311246421028298,11.932533333333334,0.674336448073776
0.6,8.456733333333334,0.6523412452170432,11.8132,0.6775711331057397
0.65,8.855733333333333,0.7721117916733712,11.722533333333333,0.7621503276984796
0.7,9.4264,0.8660200971030431,11.5248,0.8216447286145394
0.75,9.971533333333333,0.8968032823525734,11.321266666666666,0.9070326426769592
0.8,10.616466666666666,0.9190430652103669,11.1138,0.9662279699031469
0.85,11.199333333333334,0.929846913179054,10.770199999999999,1.055722953904027
0.9,11.689933333333334,0.8554293135154609,10.502533333333334,1.099366469062963
0.95,12.079666666666666,0.7851048413008649,10.201333333333332,1.1933557205014067
1.0,12.226066666666666,0.7086485106175624,10.071533333333333,1.1686173139340468
