dispersion,suitors_mean,suitors_max,suitors_min,reviewers_mean,reviewers_max,reviewers_min
0.0,-0.10586666666666664,1.8000000000000007,-1.799999999999999,0,0,0
0.25,-0.12440000000000004,1.7333333333333343,-2,-0.033866666666666656,0.7333333333333334,-1.0666666666666664
0.5,-0.10026666666666667,1.8000000000000007,-1.8666666666666671,-0.07839999999999998,1.4000000000000004,-1.8666666666666663
0.75,-0.08106666666666668,2.333333333333332,-2.2666666666666657,-0.33359999999999995,2.2666666666666675,-3.466666666666666
1.0,-0.03493333333333337,2.533333333333333,-3.6000000000000005,-0.5837333333333333,2.466666666666667,-3.533333333333333
