phi_men,phi_women
"(0.0, 0.0)",1275
"(0.1, 0.0)",1264.428
"(0.2, 0.0)",1251.238
"(0.3, 0.0)",1232.735
"(0.4, 0.0)",1207.879
"(0.5, 0.0)",1169.239
"(0.6, 0.0)",1109.534
"(0.7, 0.0)",1009.207
"(0.8, 0.0)",819.231
"(0.9, 0.0)",460.021
"(1.0, 0.0)",179.714
"(0.0, 0.1)",1275
"(0.1, 0.1)",1264.675
"(0.2, 0.1)",1251.448
"(0.3, 0.1)",1233.479
"(0.4, 0.1)",1207.84
"(0.5, 0.1)",1169.758
"(0.6, 0.1)",1110.682
"(0.7, 0.1)",1008.475
"(0.8, 0.1)",815.665
"(0.9, 0.1)",457.081
"(1.0, 0.1)",178.821
"(0.0, 0.2)",1275
"(0.1, 0.2)",1265.4
"(0.2, 0.2)",1252.605
"(0.3, 0.2)",1234.663
"(0.4, 0.2)",1209.626
"(0.5, 0.2)",1171.735
"(0.6, 0.2)",1112.115
"(0.7, 0.2)",1009.565
"(0.8, 0.2)",818.454
"(0.9, 0.2)",461.766
"(1.0, 0.2)",180.804
"(0.0, 0.3)",1275
"(0.1, 0.3)",1266.202
"(0.2, 0.3)",1254.17
"(0.3, 0.3)",1236.979
"(0.4, 0.3)",1211.533
"(0.5, 0.3)",1173.765
"(0.6, 0.3)",1114.819
"(0.7, 0.3)",1012.117
"(0.8, 0.3)",821.68
"(0.9, 0.3)",461.843
"(1.0, 0.3)",180.01
"(0.0, 0.4)",1275
"(0.1, 0.4)",1267.464
"(0.2, 0.4)",1256.08
"(0.3, 0.4)",1239.589
"(0.4, 0.4)",1215.488
"(0.5, 0.4)",1177.659
"(0.6, 0.4)",1118.998
"(0.7, 0.4)",1016.117
"(0.8, 0.4)",824.956
"(0.9, 0.4)",465.891
"(1.0, 0.4)",180.776
"(0.0, 0.5)",1275
"(0.1, 0.5)",1268.632
"(0.2, 0.5)",1258.642
"(0.3, 0.5)",1243.608
"(0.4, 0.5)",1221.071
"(0.5, 0.5)",1184.37
"(0.6, 0.5)",1125.804
"(0.7, 0.5)",1023.713
"(0.8, 0.5)",828.959
"(0.9, 0.5)",465.54
"(1.0, 0.5)",182.749
"(0.0, 0.6)",1275
"(0.1, 0.6)",1269.621
"(0.2, 0.6)",1261.276
"(0.3, 0.6)",1248.377
"(0.4, 0.6)",1227.603
"(0.5, 0.6)",1194.125
"(0.6, 0.6)",1137.75
"(0.7, 0.6)",1036.882
"(0.8, 0.6)",843.836
"(0.9, 0.6)",476.22
"(1.0, 0.6)",183.302
"(0.0, 0.7)",1275
"(0.1, 0.7)",1271.204
"(0.2, 0.7)",1264.402
"(0.3, 0.7)",1253.018
"(0.4, 0.7)",1236.009
"(0.5, 0.7)",1206.002
"(0.6, 0.7)",1155.151
"(0.7, 0.7)",1056.181
"(0.8, 0.7)",861.726
"(0.9, 0.7)",487.326
"(1.0, 0.7)",185.19
"(0.0, 0.8)",1275
"(0.1, 0.8)",1272.001
"(0.2, 0.8)",1267.108
"(0.3, 0.8)",1259.014
"(0.4, 0.8)",1246.411
"(0.5, 0.8)",1223.331
"(0.6, 0.8)",1180.039
"(0.7, 0.8)",1094.719
"(0.8, 0.8)",903.496
"(0.9, 0.8)",514.182
"(1.0, 0.8)",189.956
"(0.0, 0.9)",1275
"(0.1, 0.9)",1273.18
"(0.2, 0.9)",1270.04
"(0.3, 0.9)",1265.301
"(0.4, 0.9)",1256.4
"(0.5, 0.9)",1242.009
"(0.6, 0.9)",1212.985
"(0.7, 0.9)",1150.736
"(0.8, 0.9)",991.12
"(0.9, 0.9)",581.839
"(1.0, 0.9)",199.211
"(0.0, 1.0)",1275
"(0.1, 1.0)",1273.948
"(0.2, 1.0)",1271.797
"(0.3, 1.0)",1269.428
"(0.4, 1.0)",1263.183
"(0.5, 1.0)",1254.573
"(0.6, 1.0)",1237.043
"(0.7, 1.0)",1196.178
"(0.8, 1.0)",1085.556
"(0.9, 1.0)",699.216
"(1.0, 1.0)",208.16
