phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.09877354576079102
0.1,-0.18389583350330127
0.15,-0.1372677624674697
0.2,-0.2630237050419975
0.25,-0.1342303587998912
0.3,-0.24164628318803033
0.35,-0.23533406981573715
0.4,-0.2938188339434364
0.45,-0.30807621849169464
0.5,-0.29080615424071726
0.55,-0.36200029924714505
0.6,-0.3448618805381284
0.65,-0.30537959034716095
0.7,-0.36683809925425503
0.75,-0.32299323168761845
0.8,-0.46115395800350534
0.85,-0.3692537705622919
0.9,-0.3366153493353725
0.95,-0.34642164034903816
1.0,-0.3857291421606777
