phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.08100633374332264
0.1,-0.10020569493623818
0.15,-0.20432504599525286
0.2,-0.21218552295685067
0.25,-0.30747330625970754
0.3,-0.3211439857818552
0.35,-0.21628968114166372
0.4,-0.25280567780897095
0.45,-0.31342829389110455
0.5,-0.303931903228467
0.55,-0.29887589902863865
0.6,-0.23297660173692006
0.65,-0.2642872053510542
0.7,-0.28699099444549503
0.75,-0.28269206255605667
0.8,-0.3401072780847621
0.85,-0.3505231722738054
0.9,-0.3764624378193654
0.95,-0.38769523031037956
1.0,-0.28231860317027474
