phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.11131078182610829
0.1,-0.11147086598357268
0.15,-0.14179026885209195
0.2,-0.11872885238576814
0.25,-0.15395420415525662
0.3,-0.20263813941321365
0.35,-0.23420719314755
0.4,-0.18238497239208148
0.45,-0.25457426201776717
0.5,-0.24350182293355846
0.55,-0.3207518594488239
0.6,-0.2785371450674284
0.65,-0.2729920566183467
0.7,-0.3488595841705937
0.75,-0.23267368528475846
0.8,-0.20696960070347167
0.85,-0.33446618815141677
0.9,-0.27382752352916595
0.95,-0.3395993465813267
1.0,-0.33167154337911825
