phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.06549555699956676
0.1,-0.07613779104144093
0.15,-0.1148327379828961
0.2,-0.11644059759944204
0.25,-0.1859344231634337
0.3,-0.1865177275698496
0.35,-0.32294617767983047
0.4,-0.2987994452469893
0.45,-0.3074012358824375
0.5,-0.42417560109666086
0.55,-0.40288439995283054
0.6,-0.4867577224126327
0.65,-0.47811433238127893
0.7,-0.5564518957316004
0.75,-0.5556686253539799
0.8,-0.5460810808935591
0.85,-0.606153734073261
0.9,-0.6757412344585852
0.95,-0.7272218183460539
1.0,-0.642708779119618
