phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.05696876481785591
0.1,-0.10965637413915975
0.15,-0.030380775573464216
0.2,-0.12840898564891948
0.25,-0.07401125923796506
0.3,-0.186718126271603
0.35,-0.16760796699540176
0.4,-0.24776287284520584
0.45,-0.2932790359262099
0.5,-0.3643440205776195
0.55,-0.32616457481506766
0.6,-0.3581441534494148
0.65,-0.4495693275244768
0.7,-0.5259352529099279
0.75,-0.6040069124133379
0.8,-0.6424368533629945
0.85,-0.678454061100189
0.9,-0.7068584588305482
0.95,-0.7254446886698945
1.0,-0.7258643962260408
