phi_rev,correlation in suitor/reviewer utility diff
0.05,0.04256738485346747
0.1,-0.10603589848712959
0.15,-0.14781263233541153
0.2,-0.2169567461351464
0.25,-0.14435862682194361
0.3,-0.23467730245231283
0.35,-0.1603806363730566
0.4,-0.2734075869020403
0.45,-0.3443822090472251
0.5,-0.4200930520636573
0.55,-0.34756516311985597
0.6,-0.5081834447724579
0.65,-0.4337065032792554
0.7,-0.6283384318330276
0.75,-0.5994768664527294
0.8,-0.6288335842366779
0.85,-0.6635702488312326
0.9,-0.677679747827256
0.95,-0.7273330476479415
1.0,-0.7308469975284898
