phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.06689608079127508
0.1,-0.14769658084008078
0.15,-0.09004917372335361
0.2,-0.14537242524927393
0.25,-0.1636739717212247
0.3,-0.1657927764770544
0.35,-0.09467930543592594
0.4,-0.19068869946614947
0.45,-0.15562209033342864
0.5,-0.12574937874507525
0.55,-0.15300799994430972
0.6,-0.13753134291125854
0.65,-0.2521238359752182
0.7,-0.1530090179830776
0.75,-0.14092682630781944
0.8,-0.13058099265038509
0.85,-0.2434455476991798
0.9,-0.1122487553707074
0.95,-0.2522110839650871
1.0,-0.1323042742719125
