phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.10032993960458368
0.1,-0.09229675051498769
0.15,-0.15750293297013884
0.2,-0.17622844228841852
0.25,-0.1897041472303238
0.3,-0.23612935419874234
0.35,-0.19867253943504348
0.4,-0.3550098499416265
0.45,-0.36431906371269285
0.5,-0.38977133270332204
0.55,-0.4324139281798909
0.6,-0.3998694789774058
0.65,-0.4033809835966898
0.7,-0.5061741260943211
0.75,-0.5435293947087442
0.8,-0.6196351310992625
0.85,-0.6477042588404943
0.9,-0.6737548736278913
0.95,-0.7111947835297259
1.0,-0.691871684253212
