phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.07599784897251982
0.1,-0.1385665298228628
0.15,-0.03641453706834616
0.2,-0.18107631451064135
0.25,-0.18847827587264268
0.3,-0.2406442882923531
0.35,-0.21485865132917484
0.4,-0.2638027108080774
0.45,-0.33164534411931973
0.5,-0.35785411984566035
0.55,-0.38023280101437645
0.6,-0.42966406432681176
0.65,-0.41016028019900447
0.7,-0.4188376409991328
0.75,-0.4620869166027676
0.8,-0.45350088794387655
0.85,-0.4911551670591321
0.9,-0.4247350014211603
0.95,-0.39507837514716104
1.0,-0.49933812525577076
