phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.02629610204454066
0.1,-0.030626416221062956
0.15,-0.18861775193962857
0.2,-0.1600016422886511
0.25,-0.18542775505668738
0.3,-0.07347591970256412
0.35,-0.19474652376766405
0.4,-0.19808712612907237
0.45,-0.30889734619444
0.5,-0.32211206195412156
0.55,-0.1953829449165277
0.6,-0.30225785147643697
0.65,-0.3093941046760923
0.7,-0.36404602483390913
0.75,-0.22165102953426147
0.8,-0.33478050788262964
0.85,-0.33768577900578073
0.9,-0.2476697576264854
0.95,-0.30018648888224525
1.0,-0.31619796697368363
