phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.05962465317832084
0.1,-0.06151515484073674
0.15,-0.16484030980698047
0.2,-0.1685525108442804
0.25,-0.22499912387340187
0.3,-0.17571239040583117
0.35,-0.23440274471054628
0.4,-0.26766656683372003
0.45,-0.31678646655713166
0.5,-0.32928966805362286
0.55,-0.3986021745321223
0.6,-0.35775412396942025
0.65,-0.4667824805890937
0.7,-0.584796049717114
0.75,-0.6521079637390123
0.8,-0.67492885173635
0.85,-0.6650468490891047
0.9,-0.6946323865797572
0.95,-0.7140754381078611
1.0,-0.7135873433821317
