phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.06124082682588422
0.1,-0.07544614340390897
0.15,-0.1838847190912844
0.2,-0.22891047936515924
0.25,-0.14783702840738044
0.3,-0.2300634098107419
0.35,-0.2375719795475224
0.4,-0.3344060831017344
0.45,-0.29511053615196103
0.5,-0.46057699315440914
0.55,-0.39646025600201634
0.6,-0.4474778532340702
0.65,-0.4103133790592666
0.7,-0.4949193999316846
0.75,-0.4978868914566678
0.8,-0.5206101478551178
0.85,-0.5562305495700377
0.9,-0.5087117724052991
0.95,-0.5682508212180902
1.0,-0.619786564131995
