phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.06485746803498071
0.1,-0.10842993842026837
0.15,-0.044275862541429754
0.2,-0.061810278416592146
0.25,-0.18844276647663816
0.3,-0.11422841159644152
0.35,-0.07492018378696172
0.4,-0.05272046193224937
0.45,-0.12422120441945837
0.5,-0.12813235825620536
0.55,-0.14331886529371185
0.6,-0.07240590911314455
0.65,-0.033113763482505054
0.7,-0.17152636675240723
0.75,-0.09542184663430056
0.8,-0.07708849508426976
0.85,-0.14459641304327617
0.9,-0.12220898398579806
0.95,-0.07037184085216958
1.0,-0.15276825908510341
