phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.0629211626604997
0.1,-0.12233848283336772
0.15,-0.1445773561988222
0.2,-0.1902143526321579
0.25,-0.16639488856501464
0.3,-0.1323140611964985
0.35,-0.3140830378060393
0.4,-0.3307717963328745
0.45,-0.36042333754048644
0.5,-0.4455702416300264
0.55,-0.3983568040010123
0.6,-0.410323903719229
0.65,-0.42678020953166973
0.7,-0.4906271977005729
0.75,-0.6100416506686253
0.8,-0.5057351795670288
0.85,-0.6045923478478155
0.9,-0.5946489590384677
0.95,-0.6191655153545222
1.0,-0.5982600777478686
