phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.06245270728049766
0.1,-0.11389492683490532
0.15,-0.19017692064423616
0.2,-0.11480751296885587
0.25,-0.21682987203610626
0.3,-0.26260998709695027
0.35,-0.24406389497889747
0.4,-0.40329190720115504
0.45,-0.3084087376240278
0.5,-0.3963433642717126
0.55,-0.46734518147741727
0.6,-0.42904048437619696
0.65,-0.5337619320843363
0.7,-0.4897068831815769
0.75,-0.4629091708520645
0.8,-0.5058094367008963
0.85,-0.4511168835331505
0.9,-0.48295189192452365
0.95,-0.4688333334870584
1.0,-0.5141339721934522
