phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.08306623438145164
0.1,-0.06519512039295686
0.15,-0.16727776607218348
0.2,-0.10002750530702294
0.25,-0.18343366155383772
0.3,-0.21719371698003842
0.35,-0.26594206987115326
0.4,-0.146142735981043
0.45,-0.2715380806562064
0.5,-0.14191251490137913
0.55,-0.14760198378803055
0.6,-0.24928326025970576
0.65,-0.1530962986326379
0.7,-0.2730834006199455
0.75,-0.2406736353456113
0.8,-0.25990746155468514
0.85,-0.19131718257269964
0.9,-0.30679164852403173
0.95,-0.3074125224686828
1.0,-0.2319552793540095
