phi_rev,correlation in suitor/reviewer utility diff
0.05,-0.09257814096781887
0.1,-0.11403241087670837
0.15,-0.14899878308080766
0.2,-0.10295921386992286
0.25,-0.18863780883754905
0.3,-0.196310944692556
0.35,-0.21703993482466996
0.4,-0.2256524211061593
0.45,-0.2806312091155036
0.5,-0.28210762776293974
0.55,-0.1552332881504739
0.6,-0.12256609415698502
0.65,-0.1739606521255218
0.7,-0.12975314615704953
0.75,-0.17127687810988326
0.8,-0.22292297133395284
0.85,-0.27743915583139805
0.9,-0.17768249072419243
0.95,-0.2290371969069312
1.0,-0.17004257039079992
