dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,62.914,8.654965097658302,59.07,9.123792367998556
1,62.726,9.452280953847115,59.674,9.461223679155568
2,62.504,8.39565113114115,60.372,8.274451588969288
3,62.04,9.018929102966085,60.556,8.845980258482772
4,63.192,8.52881100942382,61.404,8.538066593926558
5,61.44,9.475123002464066,60.628,9.246871105974225
6,62.26,9.29242154642119,60.754,8.930901746857595
7,62.73,8.706129644496086,61.948,8.736701660914354
8,61.944,9.114109830147537,61.122,8.876751062119387
9,62.184,8.389930026627361,61.572,8.232640447479469
10,61.214,8.705617701181131,61.08,8.661387837902025
