dispersion,mean,stddev
2,-0.24,1.9975937428624084
3,-0.244,3.1266621231057456
4,-0.618,3.896465177794295
5,-1.448,4.613660990522704
6,-1.978,5.395158149945732
7,-2.768,6.19992371793528
8,-3.79,6.711183201188882
9,-5.512,7.519504098261237
10,-6.44,7.6369526705476165
11,-6.918,8.739108652493123
12,-9.006,9.374739221489945
13,-11.43,9.217756455240954
14,-12.812,9.05719169736877
15,-11.998,9.575666178680786
