dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,277.768,9.266818431786358,268.984,10.544292684501547
1,277.934,8.72524520042934,269.478,9.986840840824485
2,278.014,9.251647960226325,269.436,9.955708727787545
3,278.156,8.811751126525968,269.268,9.87842814851486
4,277.618,8.879965290874411,268.696,10.39016337648162
5,277.626,9.027353444971615,268.624,10.304318607454247
6,277.676,9.567345095917087,269.164,9.854101208189537
7,278.522,9.191217163460548,269.904,9.904290683733782
8,277.874,9.338336739812517,268.88,9.620119198158282
9,277.664,8.961681061882855,268.816,9.566461119803574
10,277.658,9.079532577376838,268.96,9.491816958746977
11,277.92,9.378780466888655,268.514,10.15657994762336
12,277.63,9.449639748835166,269.216,9.919381647286743
13,277.94,9.30513681480743,268.744,9.805445299170765
14,277.81,8.94236163791907,269.494,9.379868221660228
15,277.312,9.560830243754975,269.536,9.777725288820877
16,278.18,8.97064908968021,270.29,9.49559015885426
17,277.494,9.027788540493388,270.758,9.34419949103488
18,277.038,8.856264610189298,271.626,8.625248624106746
19,277.22,9.287848419118017,273.096,8.823519308414978
