Window length,initmen_mean,initmen_stdev,topmen_mean,topmen_stdev,bottommen_mean,bottommen_stdev,initwomen_mean,initwomen_stdev,topwomen_mean,topwomen_stdev,bottomwomen_mean,bottomwomen_stdev
2,4950,0.0,8527.78,219.49319862452285,5136.82,7.959975635717242,5170.78,21.487407634907633,5013.65,24.438905478971456,5164.48,20.38888586133795
3,4950,0.0,8878.77,181.84241457199622,5227.18,9.241299484467332,5171.74,18.66104893822283,4994.94,24.78465638089808,5160.68,22.013714733402818
4,4950,0.0,9095.51,189.12672759530602,5318.49,9.978254133642597,5170.09,17.93709265542476,4985.15,22.21855399017095,5151.97,17.056918972911983
5,4950,0.0,9186.49,171.3134344652597,5407.78,10.915265929102704,5167.02,18.623315461750593,4985.11,28.005012177656827,5150.99,18.696132047441083
6,4950,0.0,9284.01,157.01614759654692,5498.71,11.8007832302981,5171.24,19.618647076985535,4981.87,24.30266020272869,5149,20.40647550225767
7,4950,0.0,9356.22,136.12884419630626,5587.64,11.222740262070534,5170.22,19.694423145405988,4976.92,23.177697395678816,5142.45,17.61104738222545
8,4950,0.0,9389.09,121.62494884610715,5676.46,12.115954920532003,5168.33,19.03428857126374,4975.98,23.80008488228646,5139.07,20.509300674118904
9,4950,0.0,9421.08,107.08305848331665,5763.08,12.031675366349114,5165.95,17.149005330875138,4971.94,23.07642988335969,5136.75,21.675464414303967
10,4950,0.0,9441.71,102.68686292891519,5850.14,13.17329714140532,5171.25,19.37632367586584,4973.57,19.496829579097305,5135.52,23.447116511999354
11,4950,0.0,9442.61,94.68649973635752,5934.63,12.826468057430418,5170.46,21.127520470043834,4975.02,24.514675052492393,5127.79,21.080075805356962
12,4950,0.0,9445.01,81.6627080054775,6019.88,14.535418254676534,5169.81,19.62872302715507,4968.76,23.97689123158616,5127.75,20.46597323867254
13,4950,0.0,9427.35,75.41928255968882,6101.52,17.628878969956478,5170.2,19.963603245542988,4977.41,20.18605128960755,5123.25,19.313142539407583
14,4950,0.0,9423.13,77.41370627474129,6183.89,17.65202080170535,5168.42,22.03724120664835,4975.82,24.35361545763967,5118.58,18.238144066486015
15,4950,0.0,9414.68,67.5187785326827,6262.53,17.0432930616075,5170.86,19.718227223776605,4976.04,21.63607163880717,5114.86,21.664111737473508
16,4950,0.0,9401.15,66.63277547631321,6348.76,14.177176137451465,5168.12,20.720009360007246,4976.43,21.968873756781758,5113.02,18.304373821852007
17,4950,0.0,9381.61,60.52762871931989,6428.76,17.070927498427427,5172.74,20.192818005169535,4980.18,25.444485024889346,5108.83,18.368316485324684
18,4950,0.0,9371.51,48.78803773736577,6505.49,16.872962652921053,5172.49,21.1724496991403,4975.81,22.724834010572682,5108.74,23.660314982064484
19,4950,0.0,9367.18,49.512243154822045,6587.64,15.392192694986507,5169.07,20.503389717287966,4975.6,25.80423581233488,5102.91,19.77095870413997
20,4950,0.0,9327.54,60.04096581299785,6661.86,18.142544451975837,5172.54,21.006694459652905,4978.38,24.982329108327104,5096.98,21.63329831439478
21,4950,0.0,9308.29,56.54573459607808,6738.71,16.542748418945543,5170.11,21.735738387097026,4978.16,24.321383533214078,5094.87,19.695487356808975
22,4950,0.0,9290.86,50.841210517342,6814.52,18.90245027139673,5172.86,20.95836179888422,4980.57,24.774642869129906,5094.76,20.98682607463236
23,4950,0.0,9263.56,51.27176945878056,6889.86,17.495176824519724,5167.06,20.41034596037564,4980.16,24.795209703537985,5089.82,19.910598162584648
24,4950,0.0,9232.99,59.71506332474904,6967.41,19.52315124009017,5168.38,19.503317511115743,4981.45,23.029351056879783,5083.24,22.799131651016975
25,4950,0.0,9209.2,47.633067200308346,7034.39,21.406548134398108,5171.15,19.217718570910208,4979.22,25.52581580924051,5081.49,21.474201105776046
26,4950,0.0,9184.59,56.277468265225245,7108.35,18.933896171745115,5170.63,17.801177466446404,4983.39,23.461937798326147,5078.41,23.94737285521455
27,4950,0.0,9161.2,59.785644032018524,7182.8,19.094660526075362,5169.07,18.92476064991485,4982.83,23.696760636138954,5073.75,20.260612632455718
28,4950,0.0,9117.93,50.31441647331811,7248.91,20.972369990783182,5173.25,21.19385035639567,4983.07,22.723304906165957,5073.67,21.758107742293504
29,4950,0.0,9086.12,54.88008599103903,7323.23,18.18804968970427,5171,20.36336579906835,4987.77,20.7022445472207,5070.52,23.471228895364337
30,4950,0.0,9058.84,56.111310730718024,7386.74,21.699797513368924,5170.64,19.362840596348356,4985.48,21.391719345710772,5068.85,24.139483144107423
31,4950,0.0,9029.05,50.73587279114047,7457.01,19.90761237072468,5166.28,20.192047639573058,4981.75,21.39686326487501,5064.7,24.224330368829225
32,4950,0.0,8996.52,50.113301929757434,7518.6,18.2795353918368,5169.47,21.9735630872072,4985.83,22.145093170161907,5059.41,21.65621892625345
33,4950,0.0,8959.31,50.68932806615195,7585.81,21.56348156893356,5169.53,17.000567429626958,4985.47,23.377644073435683,5059.63,21.917962284552612
34,4950,0.0,8924.98,46.71836530279775,7651.37,21.198749248410145,5168.75,18.53055080485502,4987.05,22.874437675927663,5051.46,22.569945153730973
35,4950,0.0,8892.01,47.101544078145196,7714.92,20.185343217495234,5169.99,20.41909138353842,4987.25,22.914145866867496,5047.71,21.7684300181374
36,4950,0.0,8857.92,50.09761783888844,7777.41,21.026243822730898,5166.68,18.616208860109843,4984.17,24.72436127393467,5046.17,22.226590227277622
