Window length,initmen_mean,initmen_stdev,topmen_mean,topmen_stdev,bottommen_mean,bottommen_stdev,initwomen_mean,initwomen_stdev,topwomen_mean,topwomen_stdev,bottomwomen_mean,bottomwomen_stdev
2,1225,0.0,2106.8866666666668,80.9878221574553,1314.3666666666666,4.709574236112922,1329.3066666666666,11.82191496239404,1257.4266666666667,15.835287528055716,1324.52,13.083992986975401
3,1225,0.0,2196.84,63.2693273651214,1358.1066666666666,5.773285697113228,1330.7066666666667,14.31409249124354,1248.9666666666667,16.982587476733976,1322.06,13.796814144465118
4,1225,0.0,2239.38,58.08749128939295,1401.3866666666668,6.9454119534826315,1329.2133333333334,13.310734763913572,1246.0333333333333,16.877138608373873,1318.1733333333334,13.425782402140282
5,1225,0.0,2253.8,54.845848649592064,1442.78,7.761434517652782,1329.3933333333334,12.679263134998518,1245.6133333333332,17.637964950817427,1314.8866666666668,14.501810424662196
6,1225,0.0,2268.3933333333334,43.4087636385373,1483.8866666666668,7.776696100345986,1331.5133333333333,13.254725213755659,1245.72,16.260926115101974,1311.9933333333333,15.17437643607518
7,1225,0.0,2269,36.62983710642122,1524.7733333333333,8.584476911721222,1328.1333333333334,11.875566629599163,1243.2133333333334,14.220028727194512,1306.9866666666667,12.7463571143602
8,1225,0.0,2264.4266666666667,36.87096066679264,1563.34,9.221968227367581,1330.58,13.021031000736757,1242.9666666666667,16.109281441015963,1305.8666666666666,12.716140283657086
9,1225,0.0,2259.74,33.541605937388574,1602.52,9.258930026460904,1330.5133333333333,13.007863737588119,1245.4733333333334,14.554086428468734,1302.5466666666666,13.77556764645664
10,1225,0.0,2255.5333333333333,30.651902875484634,1639.6933333333334,10.224950840312188,1329.58,13.908748634963679,1247.66,16.57556623386225,1296.9333333333334,14.629962207177611
11,1225,0.0,2247.1266666666666,25.974509101088042,1677.7533333333333,7.997429676575302,1329.3266666666666,12.728183950063993,1246,16.18102293910075,1296.82,14.128874713548171
12,1225,0.0,2239.1,27.001304964735642,1713.5133333333333,10.039343187335993,1330.9266666666667,12.075321034078664,1244.1733333333334,16.59212502892235,1292.6133333333332,15.625992228003305
13,1225,0.0,2222.2533333333336,27.15878901993023,1748.7333333333333,10.220827969630811,1331,12.529160617208644,1248.0466666666666,16.43834797406148,1290.2666666666667,14.419723008196435
14,1225,0.0,2210.766666666667,24.95618083699267,1783.0666666666666,9.557081542304847,1330.54,14.432267166681395,1246.4666666666667,16.376307434527376,1285.0666666666666,13.695473541492717
15,1225,0.0,2192.1866666666665,25.36535360114189,1817.32,11.264555088519115,1330.3533333333332,13.960700674069406,1249.32,16.64647008957013,1283.8066666666666,15.544997109135869
16,1225,0.0,2176.16,23.949353720385883,1847.1866666666667,11.687420339127243,1331.9133333333334,12.598570637294863,1252.38,15.238889670486552,1281.0133333333333,14.89830703713368
17,1225,0.0,2161.133333333333,26.53620210903144,1880.78,11.702618303943149,1330.7133333333334,13.765698380451536,1252.8466666666666,16.33283704674499,1277.6266666666668,15.35597588972212
18,1225,0.0,2141.7066666666665,23.25393714709755,1909.5133333333333,12.03615173325184,1331.3333333333333,14.047697590931547,1253.0266666666666,14.588745623988094,1273.8733333333332,15.015113936711852
19,1225,0.0,2124.1266666666666,23.799299709585295,1935.5933333333332,14.496978008007504,1330.8666666666666,13.394212246348186,1252.4,17.890044473817493,1270.9733333333334,14.533897737537242
20,1225,0.0,2101.2533333333336,21.89241131940646,1965.6666666666667,15.840084513818786,1331.9133333333334,14.231044930750134,1252.5533333333333,17.17049782405062,1271.04,15.226204892757801
21,1225,0.0,2083.866666666667,25.5468162601347,1993.3933333333334,14.289385306530114,1331.14,13.442909360720131,1257.6266666666668,16.79267444419781,1268.3066666666666,15.555031843746102
22,1225,0.0,2063.213333333333,24.489029639961956,2018.5066666666667,14.135844612483451,1331.78,12.536052706081945,1257.36,15.964843926914483,1265.2266666666667,15.40641663003036
23,1225,0.0,2039.76,22.32754340788239,2044.4133333333334,15.351884507832725,1330.3866666666668,12.3841133708515,1257.4866666666667,15.323682888610476,1260.62,13.959514808591134
24,1225,0.0,2019.0533333333333,21.661764373988177,2066.08,17.373326774727875,1329.3466666666666,12.471705785102397,1258.94,14.784460370820973,1259.68,15.42608267985225
