dispersion,suitors_mean,suitors_stdev,reviewers_mean,reviewers_stdev
0.0,0.158,0.1979113915845142,0.0,0.0
0.25,0.1515,0.1965932320780624,0.156375,0.3446375043206766
0.5,0.138875,0.2022257516480768,0.466875,0.602936059019749
0.75,0.118375,0.19520140358860885,0.734375,0.7884434840256481
1.0,0.112,0.19683684803599338,0.86125,0.8611162573710409
