dispersion,residents_mean,residents_stdev,hospitals_mean,hospitals_stdev
0.0,-0.160625,0.19630338610017503,0.0,0.0
0.25,-0.1595,0.20149528617402035,-0.144625,0.338555910418766
0.5,-0.118125,0.19081671938117845,-0.245625,0.5136977416192763
0.75,-0.058375,0.15372578180315424,-0.111125,0.409599965217902
1.0,-0.032125,0.10589415917768055,-0.0165,0.21402057098513871
